basin_id,model,period,nse,kge,bias,peak_bias,lowflow_bias,parameter_count,solver_name,family,run_status,error_message,_elapsed_s,_cal_nse
01022500,hbv_lite_cma,evaluation,0.716829,0.764598,0.144083,-0.066521,1.454701,13,explicit_euler_dt1,hbv,success,,88.63,0.7992
01031500,hbv_lite_cma,evaluation,0.681233,0.700604,0.226492,-0.035408,4.082202,13,explicit_euler_dt1,hbv,success,,47.63,0.6586
01047000,hbv_lite_cma,evaluation,0.690411,0.763296,0.097626,-0.096804,1.833296,13,explicit_euler_dt1,hbv,success,,46.43,0.6567
01052500,hbv_lite_cma,evaluation,0.736807,0.844742,0.039615,-0.117919,1.322041,13,explicit_euler_dt1,hbv,success,,44.81,0.778
01054200,hbv_lite_cma,evaluation,0.59442,0.624467,0.140491,-0.154615,3.150345,13,explicit_euler_dt1,hbv,success,,44.58,0.5185
01055000,hbv_lite_cma,evaluation,0.582131,0.670189,0.117983,-0.130042,2.592992,13,explicit_euler_dt1,hbv,success,,43.66,0.6127
01057000,hbv_lite_cma,evaluation,0.603382,0.530981,0.377022,-0.041538,6.397921,13,explicit_euler_dt1,hbv,success,,45.48,0.6384
01073000,hbv_lite_cma,evaluation,0.793674,0.701204,0.278941,-0.019499,5.091701,13,explicit_euler_dt1,hbv,success,,43.42,0.7974
01078000,hbv_lite_cma,evaluation,0.722483,0.727197,0.228816,-0.03658,3.187447,13,explicit_euler_dt1,hbv,success,,56.95,0.7068
01123000,hbv_lite_cma,evaluation,0.460681,0.488046,0.45864,0.010634,3.466874,13,explicit_euler_dt1,hbv,success,,43.26,0.5561
01134500,hbv_lite_cma,evaluation,0.648006,0.765713,0.097758,-0.075168,1.56176,13,explicit_euler_dt1,hbv,success,,45.29,0.6897
01137500,hbv_lite_cma,evaluation,0.293471,0.245078,0.688068,0.029222,4.304575,13,explicit_euler_dt1,hbv,success,,45.55,0.4813
01139000,hbv_lite_cma,evaluation,0.588983,0.666959,0.237954,-0.073831,2.090779,13,explicit_euler_dt1,hbv,success,,47.56,0.6368
01139800,hbv_lite_cma,evaluation,0.524686,0.682807,0.219957,-0.026911,2.145521,13,explicit_euler_dt1,hbv,success,,84.72,0.6297
01142500,hbv_lite_cma,evaluation,0.328688,0.406555,0.443974,-0.089756,4.588976,13,explicit_euler_dt1,hbv,success,,78.31,0.608
01144000,hbv_lite_cma,evaluation,0.594503,0.561274,0.401973,0.035334,2.638947,13,explicit_euler_dt1,hbv,success,,47.64,0.6357
01162500,hbv_lite_cma,evaluation,0.628444,0.662321,0.228031,-0.102414,4.558721,13,explicit_euler_dt1,hbv,success,,73.09,0.6714
01169000,hbv_lite_cma,evaluation,0.498543,0.649475,0.259468,-0.008607,2.631434,13,explicit_euler_dt1,hbv,success,,44.67,0.6595
01170100,hbv_lite_cma,evaluation,0.522944,0.628331,0.268447,-0.036516,3.131502,13,explicit_euler_dt1,hbv,success,,44.08,0.6322
01181000,hbv_lite_cma,evaluation,0.551233,0.707106,0.199768,-0.024013,2.66144,13,explicit_euler_dt1,hbv,success,,43.33,0.6341
01187300,hbv_lite_cma,evaluation,0.629621,0.634653,0.243591,-0.087206,7.539082,13,explicit_euler_dt1,hbv,success,,43.34,0.6568
01195100,hbv_lite_cma,evaluation,0.521645,0.522572,0.394052,-0.036511,10.866496,13,explicit_euler_dt1,hbv,success,,38.89,0.6046
01333000,hbv_lite_cma,evaluation,0.599753,0.668908,0.22668,-0.088929,2.398937,13,explicit_euler_dt1,hbv,success,,47.96,0.6214
01350000,hbv_lite_cma,evaluation,0.601399,0.572557,0.261685,-0.145796,5.360365,13,explicit_euler_dt1,hbv,success,,43.4,0.6416
01350080,hbv_lite_cma,evaluation,0.384486,0.280545,0.361931,-0.334019,16.0172,13,explicit_euler_dt1,hbv,success,,85.41,0.5025
01350140,hbv_lite_cma,evaluation,0.360046,0.288152,0.436398,-0.240792,28.842966,13,explicit_euler_dt1,hbv,success,,77.54,0.4433
01365000,hbv_lite_cma,evaluation,0.647894,0.723261,0.134313,-0.084762,1.41932,13,explicit_euler_dt1,hbv,success,,43.59,0.726
01411300,hbv_lite_cma,evaluation,0.547036,0.480656,0.346838,-0.117113,2.202378,13,explicit_euler_dt1,hbv,success,,110.45,0.1943
01413500,hbv_lite_cma,evaluation,0.448096,0.353534,0.329964,-0.264944,10.232715,13,explicit_euler_dt1,hbv,success,,98.74,0.5489
01414500,hbv_lite_cma,evaluation,0.528517,0.502858,0.219726,-0.194066,4.624327,13,explicit_euler_dt1,hbv,success,,47.73,0.498
01415000,hbv_lite_cma,evaluation,0.633955,0.57662,0.282748,-0.113215,3.987621,13,explicit_euler_dt1,hbv,success,,47.53,0.5982
01423000,hbv_lite_cma,evaluation,0.676366,0.602862,0.237691,-0.125825,4.095919,13,explicit_euler_dt1,hbv,success,,50.39,0.7059
01434025,hbv_lite_cma,evaluation,0.492245,0.536266,0.302011,-0.152846,6.270959,13,explicit_euler_dt1,hbv,success,,43.29,0.5886
01435000,hbv_lite_cma,evaluation,0.6638,0.716771,0.06516,-0.150819,1.115964,13,explicit_euler_dt1,hbv,success,,42.88,0.7079
01439500,hbv_lite_cma,evaluation,0.706841,0.684704,0.13073,-0.143741,3.302337,13,explicit_euler_dt1,hbv,success,,55.22,0.7803
01440000,hbv_lite_cma,evaluation,0.537759,0.612857,0.191562,-0.123786,2.819959,13,explicit_euler_dt1,hbv,success,,46.69,0.6529
01440400,hbv_lite_cma,evaluation,0.637042,0.712629,0.17689,-0.060774,2.297715,13,explicit_euler_dt1,hbv,success,,42.97,0.6786
01451800,hbv_lite_cma,evaluation,0.646936,0.675888,0.183565,-0.114155,1.745865,13,explicit_euler_dt1,hbv,success,,43.07,0.757
01466500,hbv_lite_cma,evaluation,-3.626225,-0.251581,1.205174,0.45079,2.724273,13,explicit_euler_dt1,hbv,success,,93.23,-2.4113
01484100,hbv_lite_cma,evaluation,-0.013342,-0.010753,0.826398,-0.073921,5.77796,13,explicit_euler_dt1,hbv,success,,48.89,-0.1539
01487000,hbv_lite_cma,evaluation,0.413049,0.443273,0.53474,0.19571,1.491365,13,explicit_euler_dt1,hbv,success,,46.98,0.5754
01491000,hbv_lite_cma,evaluation,0.698508,0.4248,0.546197,0.086534,4.493026,13,explicit_euler_dt1,hbv,success,,51.54,0.6161
01510000,hbv_lite_cma,evaluation,0.669342,0.639902,0.243227,-0.138499,4.002238,13,explicit_euler_dt1,hbv,success,,44.15,0.7396
01516500,hbv_lite_cma,evaluation,0.436975,0.20606,0.641984,-0.097996,27.730834,13,explicit_euler_dt1,hbv,success,,43.46,0.6263
01518862,hbv_lite_cma,evaluation,0.596616,0.517193,0.350834,-0.101179,8.625985,13,explicit_euler_dt1,hbv,success,,42.92,0.6346
01532000,hbv_lite_cma,evaluation,0.492088,0.457866,0.232456,-0.129942,3.887259,13,explicit_euler_dt1,hbv,success,,42.62,0.6285
01539000,hbv_lite_cma,evaluation,0.666429,0.670759,0.181453,-0.116438,2.667117,13,explicit_euler_dt1,hbv,success,,47.25,0.6732
01542810,hbv_lite_cma,evaluation,0.601783,0.582938,0.284219,-0.114824,8.36383,13,explicit_euler_dt1,hbv,success,,47.75,0.6325
01543000,hbv_lite_cma,evaluation,0.623441,0.599067,0.275097,-0.109105,5.823042,13,explicit_euler_dt1,hbv,success,,51.86,0.7144
01543500,hbv_lite_cma,evaluation,0.631396,0.583587,0.300061,-0.11496,7.981503,13,explicit_euler_dt1,hbv,success,,56.1,0.7162
01544500,hbv_lite_cma,evaluation,0.698663,0.660951,0.149561,-0.143458,3.030327,13,explicit_euler_dt1,hbv,success,,56.76,0.6836
01545600,hbv_lite_cma,evaluation,0.672438,0.620722,0.142418,-0.174192,2.940143,13,explicit_euler_dt1,hbv,success,,58.38,0.6743
01547700,hbv_lite_cma,evaluation,0.658433,0.607033,0.304613,-0.090195,7.13929,13,explicit_euler_dt1,hbv,success,,42.77,0.653
01548500,hbv_lite_cma,evaluation,0.72224,0.70304,0.169647,-0.127979,3.154325,13,explicit_euler_dt1,hbv,success,,61.0,0.6978
01549500,hbv_lite_cma,evaluation,0.630662,0.551011,0.139277,-0.261015,10.719872,13,explicit_euler_dt1,hbv,success,,43.67,0.6639
01550000,hbv_lite_cma,evaluation,0.619354,0.599832,0.11002,-0.20756,3.120309,13,explicit_euler_dt1,hbv,success,,43.96,0.6642
01552000,hbv_lite_cma,evaluation,0.644484,0.652358,0.040613,-0.219046,1.775485,13,explicit_euler_dt1,hbv,success,,43.32,0.6715
01552500,hbv_lite_cma,evaluation,0.573558,0.63087,0.034159,-0.175619,2.583991,13,explicit_euler_dt1,hbv,success,,43.22,0.6627
01557500,hbv_lite_cma,evaluation,0.630119,0.726259,0.163903,-0.106526,2.125023,13,explicit_euler_dt1,hbv,success,,43.0,0.7639
01567500,hbv_lite_cma,evaluation,0.343632,0.414374,0.426488,-0.06323,4.017693,13,explicit_euler_dt1,hbv,success,,43.54,0.5854
01568000,hbv_lite_cma,evaluation,0.505026,0.585508,0.293818,-0.061173,2.242114,13,explicit_euler_dt1,hbv,success,,43.34,0.6442
01580000,hbv_lite_cma,evaluation,0.28838,0.312521,0.446009,-0.12791,2.73353,13,explicit_euler_dt1,hbv,success,,43.84,0.3715
01583500,hbv_lite_cma,evaluation,0.135123,0.257855,0.585636,-0.029522,3.159681,13,explicit_euler_dt1,hbv,success,,46.68,0.2326
01586610,hbv_lite_cma,evaluation,0.243368,0.397076,0.482121,-0.110134,3.953754,13,explicit_euler_dt1,hbv,success,,43.03,0.445
01591400,hbv_lite_cma,evaluation,0.303708,0.239435,0.6579,0.100904,4.133509,13,explicit_euler_dt1,hbv,success,,42.98,0.4208
01594950,hbv_lite_cma,evaluation,0.555379,0.556074,0.384854,-0.010861,18.233197,13,explicit_euler_dt1,hbv,success,,43.55,0.5936
01596500,hbv_lite_cma,evaluation,0.587332,0.65332,0.224948,-0.113395,5.514447,13,explicit_euler_dt1,hbv,success,,43.29,0.6926
01605500,hbv_lite_cma,evaluation,0.414394,0.236807,0.713148,0.047796,5.655074,13,explicit_euler_dt1,hbv,success,,38.61,0.5451
01606500,hbv_lite_cma,evaluation,0.572572,0.505419,0.412991,-0.041386,2.514104,13,explicit_euler_dt1,hbv,success,,47.2,0.4859
01632000,hbv_lite_cma,evaluation,0.580966,0.231208,0.724538,-0.060815,47.132511,13,explicit_euler_dt1,hbv,success,,43.43,0.4533
01632900,hbv_lite_cma,evaluation,-0.100389,-0.002607,0.909214,0.159843,6.681068,13,explicit_euler_dt1,hbv,success,,43.48,0.4802
01634500,hbv_lite_cma,evaluation,0.561002,0.473603,0.370892,-0.051369,2.355801,13,explicit_euler_dt1,hbv,success,,43.69,0.4598
01638480,hbv_lite_cma,evaluation,0.396218,0.21726,0.599946,-0.264773,29.392327,13,explicit_euler_dt1,hbv,success,,43.18,0.4647
01639500,hbv_lite_cma,evaluation,0.445577,0.411867,0.517722,-0.102043,5.274771,13,explicit_euler_dt1,hbv,success,,42.75,0.5105
01644000,hbv_lite_cma,evaluation,0.535736,0.356726,0.602368,0.040258,8.04293,13,explicit_euler_dt1,hbv,success,,43.06,0.4684
01664000,hbv_lite_cma,evaluation,0.496499,0.380628,0.572413,0.058785,11.042838,13,explicit_euler_dt1,hbv,success,,58.4,0.5584
01666500,hbv_lite_cma,evaluation,0.637978,0.561578,0.391762,0.008958,4.226948,13,explicit_euler_dt1,hbv,success,,43.47,0.5515
01667500,hbv_lite_cma,evaluation,0.602907,0.456736,0.463675,0.043789,5.370212,13,explicit_euler_dt1,hbv,success,,45.28,0.598
01669000,hbv_lite_cma,evaluation,0.365366,0.32434,0.553484,-0.13278,8.299893,13,explicit_euler_dt1,hbv,success,,44.63,0.4698
01669520,hbv_lite_cma,evaluation,0.56454,0.423885,0.426126,-0.051866,14.226621,13,explicit_euler_dt1,hbv,success,,112.25,0.6251
02011400,hbv_lite_cma,evaluation,0.421465,0.197309,0.72746,0.009403,7.53091,13,explicit_euler_dt1,hbv,success,,59.77,0.5367
02013000,hbv_lite_cma,evaluation,0.592868,0.39769,0.508277,-0.123636,9.146329,13,explicit_euler_dt1,hbv,success,,43.46,0.6824
02014000,hbv_lite_cma,evaluation,0.55476,0.530995,0.375093,-0.104846,5.116978,13,explicit_euler_dt1,hbv,success,,43.4,0.7463
02015700,hbv_lite_cma,evaluation,0.561254,0.612031,0.268226,-0.036495,0.547254,13,explicit_euler_dt1,hbv,success,,42.44,0.6184
02016000,hbv_lite_cma,evaluation,0.574965,0.464188,0.454032,-0.01702,4.77361,13,explicit_euler_dt1,hbv,success,,55.12,0.6894
02017500,hbv_lite_cma,evaluation,0.652527,0.677362,0.156614,-0.183305,5.06564,13,explicit_euler_dt1,hbv,success,,41.83,0.7604
02018000,hbv_lite_cma,evaluation,0.657003,0.647412,0.229956,-0.084453,1.674579,13,explicit_euler_dt1,hbv,success,,52.04,0.708
02027000,hbv_lite_cma,evaluation,0.470576,0.725855,0.091446,-0.075897,0.755225,13,explicit_euler_dt1,hbv,success,,40.92,0.5936
02027500,hbv_lite_cma,evaluation,0.52252,0.600634,-0.081733,-0.232183,0.762285,13,explicit_euler_dt1,hbv,success,,40.95,0.6135
02028500,hbv_lite_cma,evaluation,0.503824,0.524525,0.333055,-0.120954,7.737995,13,explicit_euler_dt1,hbv,success,,38.19,0.6102
02038850,hbv_lite_cma,evaluation,0.430532,0.215515,0.639243,0.012661,4.444949,13,explicit_euler_dt1,hbv,success,,35.95,0.5217
02046000,hbv_lite_cma,evaluation,0.242142,-0.109021,1.070766,0.06924,41.117587,13,explicit_euler_dt1,hbv,success,,42.51,0.6313
02051500,hbv_lite_cma,evaluation,0.488821,0.006133,0.946236,0.039166,12.962724,13,explicit_euler_dt1,hbv,success,,56.56,0.5497
02053200,hbv_lite_cma,evaluation,0.604027,0.042527,0.923751,0.00981,68.502766,13,explicit_euler_dt1,hbv,success,,101.47,0.5074
02053800,hbv_lite_cma,evaluation,0.432039,0.244935,0.678453,0.013665,4.710505,13,explicit_euler_dt1,hbv,success,,36.44,0.4948
02055100,hbv_lite_cma,evaluation,0.49205,0.453336,0.503531,0.128552,1.321567,13,explicit_euler_dt1,hbv,success,,35.23,0.6531
02056900,hbv_lite_cma,evaluation,0.432755,0.270102,0.679236,0.070956,4.102892,13,explicit_euler_dt1,hbv,success,,38.34,0.4988
02059500,hbv_lite_cma,evaluation,0.533137,0.392951,0.564369,0.015682,3.551943,13,explicit_euler_dt1,hbv,success,,35.83,0.5469
02064000,hbv_lite_cma,evaluation,0.565454,0.32604,0.515971,-0.021076,3.753568,13,explicit_euler_dt1,hbv,success,,35.61,0.5842
02065500,hbv_lite_cma,evaluation,0.410923,0.222002,0.572692,-0.069527,3.689579,13,explicit_euler_dt1,hbv,success,,47.99,0.3708
02069700,hbv_lite_cma,evaluation,0.407172,0.510313,0.381146,-0.044375,1.940812,13,explicit_euler_dt1,hbv,success,,36.91,0.4731
02070000,hbv_lite_cma,evaluation,0.280469,0.405521,0.513637,0.118333,1.866583,13,explicit_euler_dt1,hbv,success,,35.27,0.4884
02074500,hbv_lite_cma,evaluation,0.531125,0.253264,0.706451,0.127593,3.035387,13,explicit_euler_dt1,hbv,success,,36.05,0.4717
02077200,hbv_lite_cma,evaluation,0.285872,-0.040484,0.840054,0.030161,66.094233,13,explicit_euler_dt1,hbv,success,,35.86,0.5385
02081500,hbv_lite_cma,evaluation,0.568821,-0.004108,0.934619,0.012623,72.865174,13,explicit_euler_dt1,hbv,success,,41.64,0.5608
02082950,hbv_lite_cma,evaluation,0.588803,-0.015786,0.93337,0.018059,19.041848,13,explicit_euler_dt1,hbv,success,,57.29,0.3367
02092500,hbv_lite_cma,evaluation,0.565053,-0.037811,1.03042,0.220978,35.701985,13,explicit_euler_dt1,hbv,success,,74.89,0.6866
02096846,hbv_lite_cma,evaluation,0.400426,-0.166747,1.106541,0.018611,119.272202,13,explicit_euler_dt1,hbv,success,,35.65,0.4513
02102908,hbv_lite_cma,evaluation,0.4153,0.60861,0.137159,-0.13918,0.99351,13,explicit_euler_dt1,hbv,success,,36.01,0.5125
02108000,hbv_lite_cma,evaluation,0.647098,0.201814,0.793821,0.123011,17.572762,13,explicit_euler_dt1,hbv,success,,107.62,0.5536
02111180,hbv_lite_cma,evaluation,0.577071,0.487417,0.306415,-0.05818,1.457866,13,explicit_euler_dt1,hbv,success,,36.55,0.5405
02111500,hbv_lite_cma,evaluation,0.310788,0.471452,0.454909,0.150915,1.627851,13,explicit_euler_dt1,hbv,success,,37.64,0.5082
02112120,hbv_lite_cma,evaluation,0.374482,0.400913,0.504341,0.024477,2.1632,13,explicit_euler_dt1,hbv,success,,43.31,0.2328
02112360,hbv_lite_cma,evaluation,0.240542,0.518668,0.38067,0.026132,1.49849,13,explicit_euler_dt1,hbv,success,,39.39,0.3962
02118500,hbv_lite_cma,evaluation,0.479929,0.437373,0.463812,-0.057525,2.976811,13,explicit_euler_dt1,hbv,success,,36.82,0.4886
02125000,hbv_lite_cma,evaluation,0.459545,0.277901,0.609914,-0.057315,133.137032,13,explicit_euler_dt1,hbv,success,,35.95,0.5816
02128000,hbv_lite_cma,evaluation,0.478936,0.230423,0.597378,-0.038952,12.223546,13,explicit_euler_dt1,hbv,success,,35.87,0.5964
02137727,hbv_lite_cma,evaluation,0.663392,0.702408,0.240132,0.022601,0.706418,13,explicit_euler_dt1,hbv,success,,35.98,0.7121
02140991,hbv_lite_cma,evaluation,0.669153,0.616519,0.267306,0.053514,1.620438,13,explicit_euler_dt1,hbv,success,,34.97,0.673
02143000,hbv_lite_cma,evaluation,0.590422,0.669509,0.188413,-0.074079,1.42766,13,explicit_euler_dt1,hbv,success,,33.41,0.6855
02143040,hbv_lite_cma,evaluation,0.547899,0.731057,0.127517,-0.001741,0.438632,13,explicit_euler_dt1,hbv,success,,34.43,0.6758
02149000,hbv_lite_cma,evaluation,0.59884,0.749905,0.168536,0.021233,0.647142,13,explicit_euler_dt1,hbv,success,,34.51,0.6895
02152100,hbv_lite_cma,evaluation,0.435622,0.47907,0.474039,0.083517,1.884477,13,explicit_euler_dt1,hbv,success,,34.25,0.5561
