basin_id,model,period,nse,kge,bias,peak_bias,lowflow_bias,parameter_count,solver_name,family,run_status,error_message,_elapsed_s,_cal_nse
01022500,hbv_lite_cma,evaluation,0.712645,0.757559,0.144622,-0.070234,1.461719,13,explicit_euler_dt1,hbv,success,,57.93,0.8011
01031500,hbv_lite_cma,evaluation,0.704172,0.715413,0.225514,-0.037389,3.742894,13,explicit_euler_dt1,hbv,success,,39.81,0.6577
01047000,hbv_lite_cma,evaluation,0.6904,0.763298,0.097637,-0.096833,1.833528,13,explicit_euler_dt1,hbv,success,,31.31,0.6566
01052500,hbv_lite_cma,evaluation,0.736784,0.844611,0.03961,-0.11808,1.323803,13,explicit_euler_dt1,hbv,success,,30.92,0.778
01054200,hbv_lite_cma,evaluation,0.593681,0.623389,0.140482,-0.154345,3.139964,13,explicit_euler_dt1,hbv,success,,30.75,0.5184
01055000,hbv_lite_cma,evaluation,0.573532,0.648852,0.119277,-0.134798,2.642623,13,explicit_euler_dt1,hbv,success,,31.51,0.6104
01057000,hbv_lite_cma,evaluation,0.608886,0.538639,0.376693,-0.039145,6.330078,13,explicit_euler_dt1,hbv,success,,32.2,0.6345
01073000,hbv_lite_cma,evaluation,0.790171,0.700577,0.278844,-0.014673,4.812405,13,explicit_euler_dt1,hbv,success,,28.09,0.8012
01078000,hbv_lite_cma,evaluation,0.716598,0.728715,0.22797,-0.044098,3.177723,13,explicit_euler_dt1,hbv,success,,33.08,0.7072
01123000,hbv_lite_cma,evaluation,0.462333,0.488248,0.458638,0.010671,3.464436,13,explicit_euler_dt1,hbv,success,,28.91,0.5564
01134500,hbv_lite_cma,evaluation,0.644112,0.761355,0.097622,-0.068754,1.508095,13,explicit_euler_dt1,hbv,success,,31.18,0.6841
01137500,hbv_lite_cma,evaluation,0.342196,0.373308,0.54313,0.027447,3.501265,13,explicit_euler_dt1,hbv,success,,32.22,0.5221
01139000,hbv_lite_cma,evaluation,0.530338,0.628582,0.224141,-0.132983,2.931937,13,explicit_euler_dt1,hbv,success,,48.39,0.6517
01139800,hbv_lite_cma,evaluation,0.551487,0.665793,0.21099,-0.057568,2.513221,13,explicit_euler_dt1,hbv,success,,75.56,0.6659
01142500,hbv_lite_cma,evaluation,0.408724,0.523451,0.343663,-0.040504,3.346142,13,explicit_euler_dt1,hbv,success,,94.78,0.6625
01144000,hbv_lite_cma,evaluation,0.593697,0.554624,0.402054,0.034804,2.669461,13,explicit_euler_dt1,hbv,success,,47.69,0.6292
01162500,hbv_lite_cma,evaluation,0.629932,0.658871,0.227361,-0.105961,4.533893,13,explicit_euler_dt1,hbv,success,,69.35,0.6611
01169000,hbv_lite_cma,evaluation,0.498811,0.649561,0.259462,-0.008536,2.631751,13,explicit_euler_dt1,hbv,success,,28.64,0.6595
01170100,hbv_lite_cma,evaluation,0.49457,0.625627,0.268666,-0.030484,3.155293,13,explicit_euler_dt1,hbv,success,,29.86,0.6337
01181000,hbv_lite_cma,evaluation,0.567648,0.707105,0.19968,-0.048078,2.673294,13,explicit_euler_dt1,hbv,success,,28.82,0.6296
01187300,hbv_lite_cma,evaluation,0.630108,0.633935,0.243606,-0.085439,7.786848,13,explicit_euler_dt1,hbv,success,,28.62,0.6575
