basin_id,model,period,nse,kge,bias,peak_bias,lowflow_bias,parameter_count,solver_name,family,run_status,error_message,_elapsed_s,_cal_nse
01022500,hbv_lite_cma,evaluation,0.731358,0.797716,-0.02482,-0.13676,0.707007,13,explicit_euler_dt1,hbv,success,,57.86,0.8053
01031500,hbv_lite_cma,evaluation,0.707902,0.805156,-0.030873,-0.123525,1.435101,13,explicit_euler_dt1,hbv,success,,35.66,0.6715
01047000,hbv_lite_cma,evaluation,0.674382,0.74204,-0.083172,-0.172819,1.070217,13,explicit_euler_dt1,hbv,success,,34.76,0.6544
01052500,hbv_lite_cma,evaluation,0.710962,0.794085,-0.102524,-0.187333,0.864472,13,explicit_euler_dt1,hbv,success,,30.28,0.7604
01054200,hbv_lite_cma,evaluation,0.582219,0.639556,-0.02736,-0.19634,2.576411,13,explicit_euler_dt1,hbv,success,,30.78,0.535
01055000,hbv_lite_cma,evaluation,0.584119,0.669494,-0.020624,-0.184188,1.955134,13,explicit_euler_dt1,hbv,success,,30.65,0.6227
01057000,hbv_lite_cma,evaluation,0.638254,0.710175,-0.041537,-0.169928,0.713455,13,explicit_euler_dt1,hbv,success,,30.91,0.7027
01073000,hbv_lite_cma,evaluation,0.770685,0.757365,-0.110858,-0.163366,0.400854,13,explicit_euler_dt1,hbv,success,,29.44,0.8437
01078000,hbv_lite_cma,evaluation,0.731643,0.823984,0.000497,-0.13933,1.896832,13,explicit_euler_dt1,hbv,success,,38.17,0.7064
01123000,hbv_lite_cma,evaluation,0.640515,0.799165,0.030116,-0.099977,0.548605,13,explicit_euler_dt1,hbv,success,,29.47,0.7384
01134500,hbv_lite_cma,evaluation,0.651908,0.761089,-0.061988,-0.146694,0.861619,13,explicit_euler_dt1,hbv,success,,33.1,0.683
01137500,hbv_lite_cma,evaluation,0.556975,0.605317,0.332771,0.05647,1.242386,13,explicit_euler_dt1,hbv,success,,29.66,0.5995
01139000,hbv_lite_cma,evaluation,0.638468,0.715698,-0.128229,-0.216797,0.487113,13,explicit_euler_dt1,hbv,success,,30.78,0.749
01139800,hbv_lite_cma,evaluation,0.616406,0.712364,-0.176052,-0.213707,0.418492,13,explicit_euler_dt1,hbv,success,,32.68,0.7385
01142500,hbv_lite_cma,evaluation,0.633771,0.748379,-0.004203,-0.116086,0.845242,13,explicit_euler_dt1,hbv,success,,31.77,0.7077
01144000,hbv_lite_cma,evaluation,0.707518,0.817839,0.000349,-0.101392,0.611709,13,explicit_euler_dt1,hbv,success,,32.0,0.7102
01162500,hbv_lite_cma,evaluation,0.654053,0.72623,-0.009239,-0.197674,2.610256,13,explicit_euler_dt1,hbv,success,,59.9,0.6996
01169000,hbv_lite_cma,evaluation,0.461486,0.702758,0.135275,-0.057642,2.397603,13,explicit_euler_dt1,hbv,success,,29.92,0.6361
01170100,hbv_lite_cma,evaluation,0.530098,0.699395,0.115574,-0.105295,2.731913,13,explicit_euler_dt1,hbv,success,,30.57,0.6339
01181000,hbv_lite_cma,evaluation,0.530345,0.749529,0.063141,-0.112189,2.140356,13,explicit_euler_dt1,hbv,success,,29.88,0.6056
01187300,hbv_lite_cma,evaluation,0.643957,0.712013,-0.027981,-0.159243,3.265615,13,explicit_euler_dt1,hbv,success,,29.39,0.6895
01195100,hbv_lite_cma,evaluation,0.538377,0.717745,0.001669,-0.145665,2.687698,13,explicit_euler_dt1,hbv,success,,29.28,0.7717
01333000,hbv_lite_cma,evaluation,0.638028,0.759031,-0.032624,-0.170977,0.954393,13,explicit_euler_dt1,hbv,success,,33.56,0.6514
01350000,hbv_lite_cma,evaluation,0.604575,0.625877,-0.001605,-0.226305,2.439314,13,explicit_euler_dt1,hbv,success,,29.48,0.6658
01350080,hbv_lite_cma,evaluation,0.454024,0.37941,-0.253236,-0.417793,0.502015,13,explicit_euler_dt1,hbv,success,,30.01,0.6441
01350140,hbv_lite_cma,evaluation,0.465614,0.463843,-0.186605,-0.311848,3.62954,13,explicit_euler_dt1,hbv,success,,29.87,0.5301
01365000,hbv_lite_cma,evaluation,0.657855,0.776832,-0.018419,-0.145141,0.857752,13,explicit_euler_dt1,hbv,success,,29.42,0.7216
01411300,hbv_lite_cma,evaluation,0.631953,0.579542,-0.171668,-0.27844,0.124516,13,explicit_euler_dt1,hbv,success,,38.84,0.6684
01413500,hbv_lite_cma,evaluation,0.561778,0.493003,-0.171411,-0.335282,0.989767,13,explicit_euler_dt1,hbv,success,,35.11,0.6687
01414500,hbv_lite_cma,evaluation,0.600234,0.558753,-0.166723,-0.296476,0.848429,13,explicit_euler_dt1,hbv,success,,29.96,0.6075
01415000,hbv_lite_cma,evaluation,0.670601,0.617403,-0.071066,-0.260572,1.672458,13,explicit_euler_dt1,hbv,success,,29.45,0.6788
01423000,hbv_lite_cma,evaluation,0.708447,0.679055,-0.177675,-0.22763,-0.619059,13,explicit_euler_dt1,hbv,success,,30.05,0.749
01434025,hbv_lite_cma,evaluation,0.55271,0.714702,-0.023326,-0.170138,0.9737,13,explicit_euler_dt1,hbv,success,,29.35,0.6389
01435000,hbv_lite_cma,evaluation,0.6617,0.720317,-0.077038,-0.205843,0.587319,13,explicit_euler_dt1,hbv,success,,28.77,0.6969
01439500,hbv_lite_cma,evaluation,0.727064,0.697692,-0.074614,-0.223116,1.831002,13,explicit_euler_dt1,hbv,success,,36.97,0.7918
01440000,hbv_lite_cma,evaluation,0.546344,0.615824,-0.094691,-0.247292,1.327142,13,explicit_euler_dt1,hbv,success,,31.09,0.7062
01440400,hbv_lite_cma,evaluation,0.657415,0.759721,0.000851,-0.146862,1.699627,13,explicit_euler_dt1,hbv,success,,28.68,0.6671
01451800,hbv_lite_cma,evaluation,0.64593,0.763553,-0.004326,-0.154709,0.426805,13,explicit_euler_dt1,hbv,success,,28.17,0.7443
01466500,hbv_lite_cma,evaluation,-0.413738,0.389522,0.447171,0.193487,1.158109,13,explicit_euler_dt1,hbv,success,,68.93,0.1317
01484100,hbv_lite_cma,evaluation,0.578959,0.665133,0.181453,-0.070982,1.017423,13,explicit_euler_dt1,hbv,success,,29.1,0.5052
01487000,hbv_lite_cma,evaluation,0.764528,0.804678,0.151319,0.048762,0.434668,13,explicit_euler_dt1,hbv,success,,29.0,0.81
01491000,hbv_lite_cma,evaluation,0.713464,0.70684,-0.024441,-0.143412,0.734346,13,explicit_euler_dt1,hbv,success,,28.98,0.724
01510000,hbv_lite_cma,evaluation,0.683089,0.668333,-0.139101,-0.270347,0.550559,13,explicit_euler_dt1,hbv,success,,29.34,0.7685
01516500,hbv_lite_cma,evaluation,0.462641,0.519406,-0.111588,-0.212628,-0.188046,13,explicit_euler_dt1,hbv,success,,28.5,0.6656
01518862,hbv_lite_cma,evaluation,0.587875,0.624031,-0.024702,-0.21599,3.330567,13,explicit_euler_dt1,hbv,success,,28.55,0.682
01532000,hbv_lite_cma,evaluation,0.512761,0.509569,-0.052422,-0.214237,1.064937,13,explicit_euler_dt1,hbv,success,,28.71,0.6622
01539000,hbv_lite_cma,evaluation,0.65686,0.749993,-0.041044,-0.170234,1.077993,13,explicit_euler_dt1,hbv,success,,28.8,0.6624
01542810,hbv_lite_cma,evaluation,0.622239,0.687389,-0.00363,-0.196366,3.157051,13,explicit_euler_dt1,hbv,success,,28.63,0.6701
01543000,hbv_lite_cma,evaluation,0.680596,0.730179,-0.015933,-0.176693,2.000565,13,explicit_euler_dt1,hbv,success,,31.23,0.7518
01543500,hbv_lite_cma,evaluation,0.69529,0.726399,-0.014762,-0.194854,1.988763,13,explicit_euler_dt1,hbv,success,,33.67,0.7524
01544500,hbv_lite_cma,evaluation,0.726133,0.686606,-0.112692,-0.221483,0.760684,13,explicit_euler_dt1,hbv,success,,36.72,0.7286
01545600,hbv_lite_cma,evaluation,0.676228,0.662698,-0.128632,-0.234262,0.551456,13,explicit_euler_dt1,hbv,success,,37.34,0.7071
01547700,hbv_lite_cma,evaluation,0.670885,0.715937,-0.171377,-0.205955,-0.901563,13,explicit_euler_dt1,hbv,success,,28.26,0.6488
01548500,hbv_lite_cma,evaluation,0.72637,0.701905,-0.133908,-0.229003,0.710552,13,explicit_euler_dt1,hbv,success,,36.62,0.7658
01549500,hbv_lite_cma,evaluation,0.635598,0.546433,-0.204084,-0.325097,1.257616,13,explicit_euler_dt1,hbv,success,,28.78,0.7422
01550000,hbv_lite_cma,evaluation,0.636458,0.593767,-0.136734,-0.279938,1.056116,13,explicit_euler_dt1,hbv,success,,29.1,0.7186
01552000,hbv_lite_cma,evaluation,0.643158,0.650756,-0.133869,-0.267629,1.085574,13,explicit_euler_dt1,hbv,success,,29.22,0.7074
01552500,hbv_lite_cma,evaluation,0.583462,0.625218,-0.132362,-0.233904,1.37198,13,explicit_euler_dt1,hbv,success,,28.67,0.6684
01557500,hbv_lite_cma,evaluation,0.655212,0.75585,-0.017465,-0.187656,1.570663,13,explicit_euler_dt1,hbv,success,,28.75,0.7478
01567500,hbv_lite_cma,evaluation,0.403664,0.615321,-0.009928,-0.190483,0.531472,13,explicit_euler_dt1,hbv,success,,28.66,0.6279
01568000,hbv_lite_cma,evaluation,0.495866,0.710359,0.034387,-0.131757,0.758315,13,explicit_euler_dt1,hbv,success,,28.61,0.6864
01580000,hbv_lite_cma,evaluation,0.533753,0.524671,-0.071127,-0.266044,0.219216,13,explicit_euler_dt1,hbv,success,,28.7,0.6147
01583500,hbv_lite_cma,evaluation,0.522779,0.634538,-0.01076,-0.172831,0.225683,13,explicit_euler_dt1,hbv,success,,28.65,0.5355
01586610,hbv_lite_cma,evaluation,0.482089,0.684037,-0.09113,-0.118256,-0.242446,13,explicit_euler_dt1,hbv,success,,28.81,0.5792
01591400,hbv_lite_cma,evaluation,0.467935,0.631505,0.020235,-0.012182,0.271203,13,explicit_euler_dt1,hbv,success,,28.74,0.5151
01594950,hbv_lite_cma,evaluation,0.578586,0.740778,-0.03012,-0.155747,3.612391,13,explicit_euler_dt1,hbv,success,,28.58,0.6478
01596500,hbv_lite_cma,evaluation,0.578166,0.680489,-0.075759,-0.229309,1.699698,13,explicit_euler_dt1,hbv,success,,28.68,0.7121
01605500,hbv_lite_cma,evaluation,0.52755,0.660318,0.096857,-0.081034,0.143394,13,explicit_euler_dt1,hbv,success,,28.88,0.6276
01606500,hbv_lite_cma,evaluation,0.589166,0.60425,-0.068609,-0.223564,-0.11841,13,explicit_euler_dt1,hbv,success,,35.87,0.6348
