basin_id,model,period,nse,kge,bias,peak_bias,lowflow_bias,parameter_count,solver_name,family,run_status,error_message,_elapsed_s,_cal_nse
01022500,hbv_lite_cma,evaluation,0.731585,0.784973,-0.020297,-0.148923,0.785377,13,explicit_euler_dt1,hbv,success,,46.53,0.8048
01031500,hbv_lite_cma,evaluation,0.722364,0.788045,-0.041696,-0.145872,1.414093,13,explicit_euler_dt1,hbv,success,,34.08,0.6704
01047000,hbv_lite_cma,evaluation,0.66867,0.705134,-0.10534,-0.196317,0.762682,13,explicit_euler_dt1,hbv,success,,30.16,0.6474
01052500,hbv_lite_cma,evaluation,0.729421,0.77641,-0.135498,-0.207369,0.698389,13,explicit_euler_dt1,hbv,success,,29.36,0.7524
01054200,hbv_lite_cma,evaluation,0.579586,0.619019,-0.041339,-0.219462,2.60622,13,explicit_euler_dt1,hbv,success,,29.37,0.5364
01055000,hbv_lite_cma,evaluation,0.520358,0.603217,-0.137889,-0.181755,0.557151,13,explicit_euler_dt1,hbv,success,,29.71,0.5772
01057000,hbv_lite_cma,evaluation,0.645521,0.698257,-0.021485,-0.176868,1.301184,13,explicit_euler_dt1,hbv,success,,30.36,0.7054
01073000,hbv_lite_cma,evaluation,0.763524,0.724515,-0.12334,-0.201764,0.467357,13,explicit_euler_dt1,hbv,success,,27.93,0.8486
01078000,hbv_lite_cma,evaluation,0.75259,0.80395,0.003884,-0.157896,2.020111,13,explicit_euler_dt1,hbv,success,,33.64,0.7076
01123000,hbv_lite_cma,evaluation,0.646486,0.791609,0.031177,-0.112261,0.625878,13,explicit_euler_dt1,hbv,success,,28.4,0.739
01134500,hbv_lite_cma,evaluation,0.654579,0.736689,-0.067476,-0.17422,0.978565,13,explicit_euler_dt1,hbv,success,,29.88,0.6861
01137500,hbv_lite_cma,evaluation,0.558072,0.602408,0.332832,0.048263,1.279467,13,explicit_euler_dt1,hbv,success,,30.52,0.5998
01139000,hbv_lite_cma,evaluation,0.648774,0.732683,-0.088004,-0.202409,0.666327,13,explicit_euler_dt1,hbv,success,,57.15,0.7429
01139800,hbv_lite_cma,evaluation,0.615634,0.70233,-0.181879,-0.22283,0.399226,13,explicit_euler_dt1,hbv,success,,44.26,0.7392
01142500,hbv_lite_cma,evaluation,0.638626,0.736314,-0.002095,-0.128558,0.904945,13,explicit_euler_dt1,hbv,success,,63.66,0.7087
01144000,hbv_lite_cma,evaluation,0.71151,0.806465,-0.002235,-0.113632,0.63362,13,explicit_euler_dt1,hbv,success,,74.93,0.7109
01162500,hbv_lite_cma,evaluation,0.652676,0.70273,-0.02293,-0.214921,2.459958,13,explicit_euler_dt1,hbv,success,,55.26,0.6923
01169000,hbv_lite_cma,evaluation,0.485244,0.709191,0.131384,-0.08535,2.415953,13,explicit_euler_dt1,hbv,success,,30.92,0.6365
01170100,hbv_lite_cma,evaluation,0.543692,0.695616,0.109423,-0.118875,2.754168,13,explicit_euler_dt1,hbv,success,,41.64,0.6346
01181000,hbv_lite_cma,evaluation,0.5617,0.757525,0.053194,-0.117429,2.100367,13,explicit_euler_dt1,hbv,success,,43.08,0.6062
01187300,hbv_lite_cma,evaluation,0.633079,0.681734,-0.026408,-0.18028,3.640869,13,explicit_euler_dt1,hbv,success,,42.82,0.6774
01195100,hbv_lite_cma,evaluation,0.541083,0.710601,0.006728,-0.15354,3.139419,13,explicit_euler_dt1,hbv,success,,42.6,0.7728
01333000,hbv_lite_cma,evaluation,0.647265,0.730472,-0.030262,-0.19765,1.160897,13,explicit_euler_dt1,hbv,success,,47.42,0.6528
01350000,hbv_lite_cma,evaluation,0.597497,0.606274,-0.010822,-0.24279,2.350111,13,explicit_euler_dt1,hbv,success,,42.92,0.6616
01350080,hbv_lite_cma,evaluation,0.445688,0.365489,-0.253367,-0.428598,0.67883,13,explicit_euler_dt1,hbv,success,,44.87,0.6447
01350140,hbv_lite_cma,evaluation,0.463452,0.44862,-0.186512,-0.324286,3.882858,13,explicit_euler_dt1,hbv,success,,43.72,0.5313
01365000,hbv_lite_cma,evaluation,0.649085,0.737795,-0.027156,-0.159678,0.770724,13,explicit_euler_dt1,hbv,success,,43.03,0.7228
01411300,hbv_lite_cma,evaluation,0.626768,0.575816,-0.171723,-0.279405,0.131077,13,explicit_euler_dt1,hbv,success,,52.96,0.6685
01413500,hbv_lite_cma,evaluation,0.557525,0.478441,-0.171495,-0.34482,1.081729,13,explicit_euler_dt1,hbv,success,,55.11,0.6694
01414500,hbv_lite_cma,evaluation,0.587092,0.546078,-0.168258,-0.30499,0.797559,13,explicit_euler_dt1,hbv,success,,42.62,0.6065
01415000,hbv_lite_cma,evaluation,0.661611,0.598086,-0.066313,-0.272727,1.856041,13,explicit_euler_dt1,hbv,success,,43.09,0.6796
01423000,hbv_lite_cma,evaluation,0.718241,0.680018,-0.178509,-0.227684,-0.566128,13,explicit_euler_dt1,hbv,success,,43.6,0.748
01434025,hbv_lite_cma,evaluation,0.565085,0.711104,-0.002183,-0.171263,1.234341,13,explicit_euler_dt1,hbv,success,,42.95,0.6417
01435000,hbv_lite_cma,evaluation,0.662424,0.706079,-0.084075,-0.219567,0.55618,13,explicit_euler_dt1,hbv,success,,42.48,0.6978
01439500,hbv_lite_cma,evaluation,0.719341,0.666361,-0.079514,-0.241122,1.909989,13,explicit_euler_dt1,hbv,success,,46.74,0.7906
01440000,hbv_lite_cma,evaluation,0.556106,0.615671,-0.132865,-0.262213,0.908505,13,explicit_euler_dt1,hbv,success,,46.67,0.7108
01440400,hbv_lite_cma,evaluation,0.656917,0.764978,-0.018057,-0.143245,1.541511,13,explicit_euler_dt1,hbv,success,,42.88,0.6716
01451800,hbv_lite_cma,evaluation,0.641748,0.73229,0.045018,-0.159837,1.057826,13,explicit_euler_dt1,hbv,success,,43.1,0.7476
01466500,hbv_lite_cma,evaluation,-0.008974,0.478288,0.197638,0.117816,0.3359,13,explicit_euler_dt1,hbv,success,,60.51,0.4815
01484100,hbv_lite_cma,evaluation,0.575397,0.65576,0.181368,-0.067018,0.952023,13,explicit_euler_dt1,hbv,success,,43.66,0.5018
01487000,hbv_lite_cma,evaluation,0.72799,0.779729,0.151129,0.046759,0.439086,13,explicit_euler_dt1,hbv,success,,44.82,0.8142
01491000,hbv_lite_cma,evaluation,0.688211,0.66618,-0.027508,-0.137012,0.557279,13,explicit_euler_dt1,hbv,success,,46.63,0.7012
01510000,hbv_lite_cma,evaluation,0.681065,0.653755,-0.129858,-0.280137,0.795139,13,explicit_euler_dt1,hbv,success,,44.98,0.7715
01516500,hbv_lite_cma,evaluation,0.496469,0.506886,0.105059,-0.178467,4.863254,13,explicit_euler_dt1,hbv,success,,38.85,0.6758
01518862,hbv_lite_cma,evaluation,0.612733,0.607918,-0.029928,-0.233528,3.555684,13,explicit_euler_dt1,hbv,success,,43.1,0.6786
01532000,hbv_lite_cma,evaluation,0.509827,0.496934,-0.050854,-0.226077,1.214403,13,explicit_euler_dt1,hbv,success,,42.94,0.6631
01539000,hbv_lite_cma,evaluation,0.661887,0.738267,-0.042248,-0.182785,1.187635,13,explicit_euler_dt1,hbv,success,,42.49,0.6629
01542810,hbv_lite_cma,evaluation,0.61878,0.671613,-0.000845,-0.209155,3.802937,13,explicit_euler_dt1,hbv,success,,42.18,0.6704
01543000,hbv_lite_cma,evaluation,0.676947,0.735821,-0.014896,-0.173434,2.316835,13,explicit_euler_dt1,hbv,success,,43.33,0.7407
01543500,hbv_lite_cma,evaluation,0.696357,0.707964,-0.017386,-0.206404,2.072726,13,explicit_euler_dt1,hbv,success,,47.0,0.7533
01544500,hbv_lite_cma,evaluation,0.721287,0.67171,-0.115957,-0.233338,0.807386,13,explicit_euler_dt1,hbv,success,,55.34,0.7294
01545600,hbv_lite_cma,evaluation,0.666936,0.64168,-0.129859,-0.245091,0.583093,13,explicit_euler_dt1,hbv,success,,59.95,0.7006
01547700,hbv_lite_cma,evaluation,0.674412,0.70115,-0.177435,-0.217138,-0.898248,13,explicit_euler_dt1,hbv,success,,43.13,0.6495
01548500,hbv_lite_cma,evaluation,0.718943,0.673493,-0.142763,-0.229612,0.587461,13,explicit_euler_dt1,hbv,success,,50.31,0.7563
01549500,hbv_lite_cma,evaluation,0.627751,0.53405,-0.202091,-0.336148,1.421764,13,explicit_euler_dt1,hbv,success,,43.54,0.7431
01550000,hbv_lite_cma,evaluation,0.618841,0.572051,-0.150486,-0.280272,0.782799,13,explicit_euler_dt1,hbv,success,,43.18,0.7025
01552000,hbv_lite_cma,evaluation,0.642137,0.633486,-0.134193,-0.280614,1.053975,13,explicit_euler_dt1,hbv,success,,42.28,0.7077
01552500,hbv_lite_cma,evaluation,0.584372,0.613622,-0.138209,-0.245865,1.348441,13,explicit_euler_dt1,hbv,success,,42.8,0.6691
01557500,hbv_lite_cma,evaluation,0.660646,0.74262,-0.022446,-0.198977,1.59592,13,explicit_euler_dt1,hbv,success,,43.15,0.745
