basin_id,model,period,nse,kge,bias,peak_bias,lowflow_bias,parameter_count,solver_name,family,run_status,error_message,_elapsed_s,_cal_nse
01022500,hbv_lite_cma,evaluation,0.721862,0.777363,-0.013734,-0.154067,0.888833,13,explicit_euler_dt1,hbv,success,,53.52,0.805
01031500,hbv_lite_cma,evaluation,0.708486,0.79258,-0.04231,-0.137676,1.43562,13,explicit_euler_dt1,hbv,success,,32.78,0.6723
01047000,hbv_lite_cma,evaluation,0.679882,0.723139,-0.10492,-0.187508,0.636936,13,explicit_euler_dt1,hbv,success,,32.53,0.6476
01052500,hbv_lite_cma,evaluation,0.714869,0.76801,-0.133562,-0.20895,0.722239,13,explicit_euler_dt1,hbv,success,,30.11,0.7616
01054200,hbv_lite_cma,evaluation,0.579393,0.617364,-0.043774,-0.221357,2.582308,13,explicit_euler_dt1,hbv,success,,30.8,0.5363
01055000,hbv_lite_cma,evaluation,0.585212,0.655459,-0.024691,-0.197981,2.060241,13,explicit_euler_dt1,hbv,success,,30.06,0.6234
01057000,hbv_lite_cma,evaluation,0.642446,0.692168,-0.007938,-0.182259,1.748163,13,explicit_euler_dt1,hbv,success,,29.08,0.7027
01073000,hbv_lite_cma,evaluation,0.761592,0.726618,-0.12427,-0.182789,0.370675,13,explicit_euler_dt1,hbv,success,,28.29,0.8447
01078000,hbv_lite_cma,evaluation,0.740541,0.777566,-0.116335,-0.182912,0.881059,13,explicit_euler_dt1,hbv,success,,34.06,0.7046
01123000,hbv_lite_cma,evaluation,0.638288,0.786083,0.033764,-0.1129,0.639511,13,explicit_euler_dt1,hbv,success,,28.15,0.7351
01134500,hbv_lite_cma,evaluation,0.657676,0.736326,-0.075641,-0.175458,0.857339,13,explicit_euler_dt1,hbv,success,,31.31,0.6843
01137500,hbv_lite_cma,evaluation,0.557407,0.600467,0.332753,0.047614,1.294045,13,explicit_euler_dt1,hbv,success,,26.05,0.5996
01139000,hbv_lite_cma,evaluation,0.636737,0.700731,-0.130093,-0.229739,0.540503,13,explicit_euler_dt1,hbv,success,,33.07,0.75
01139800,hbv_lite_cma,evaluation,0.627756,0.745098,-0.124123,-0.186135,0.578727,13,explicit_euler_dt1,hbv,success,,31.12,0.7323
01142500,hbv_lite_cma,evaluation,0.638831,0.736216,-0.00394,-0.128891,0.885949,13,explicit_euler_dt1,hbv,success,,30.7,0.7087
01144000,hbv_lite_cma,evaluation,0.711515,0.806479,-0.002217,-0.113628,0.633689,13,explicit_euler_dt1,hbv,success,,31.45,0.7109
01162500,hbv_lite_cma,evaluation,0.655414,0.702356,-0.039578,-0.212161,2.403338,13,explicit_euler_dt1,hbv,success,,54.59,0.6973
01169000,hbv_lite_cma,evaluation,0.488731,0.709625,0.12707,-0.075112,2.396138,13,explicit_euler_dt1,hbv,success,,28.82,0.6371
01170100,hbv_lite_cma,evaluation,0.542706,0.695374,0.110286,-0.119247,2.775497,13,explicit_euler_dt1,hbv,success,,26.45,0.6346
01181000,hbv_lite_cma,evaluation,0.558951,0.749606,0.056712,-0.130972,2.144921,13,explicit_euler_dt1,hbv,success,,28.63,0.6063
01187300,hbv_lite_cma,evaluation,0.643035,0.696832,-0.025137,-0.174308,3.582963,13,explicit_euler_dt1,hbv,success,,28.14,0.6904
01195100,hbv_lite_cma,evaluation,0.542431,0.710039,0.006691,-0.154615,3.154892,13,explicit_euler_dt1,hbv,success,,28.14,0.7722
01333000,hbv_lite_cma,evaluation,0.664167,0.752157,-0.03377,-0.18017,0.8479,13,explicit_euler_dt1,hbv,success,,29.61,0.6524
01350000,hbv_lite_cma,evaluation,0.607933,0.615684,0.007666,-0.240871,2.823341,13,explicit_euler_dt1,hbv,success,,28.34,0.667
01350080,hbv_lite_cma,evaluation,0.44538,0.365388,-0.253429,-0.43026,0.703033,13,explicit_euler_dt1,hbv,success,,32.64,0.6424
01350140,hbv_lite_cma,evaluation,0.464041,0.447501,-0.186477,-0.323908,3.822707,13,explicit_euler_dt1,hbv,success,,28.53,0.5311
01365000,hbv_lite_cma,evaluation,0.65187,0.740213,-0.024687,-0.156,0.8084,13,explicit_euler_dt1,hbv,success,,28.7,0.7231
01411300,hbv_lite_cma,evaluation,0.62805,0.574477,-0.171736,-0.281851,0.133216,13,explicit_euler_dt1,hbv,success,,38.89,0.6686
01413500,hbv_lite_cma,evaluation,0.552816,0.475071,-0.155165,-0.347768,1.335532,13,explicit_euler_dt1,hbv,success,,29.99,0.677
01414500,hbv_lite_cma,evaluation,0.570926,0.521967,-0.188738,-0.322566,0.783116,13,explicit_euler_dt1,hbv,success,,28.81,0.6075
01415000,hbv_lite_cma,evaluation,0.661645,0.598114,-0.066307,-0.272721,1.855618,13,explicit_euler_dt1,hbv,success,,28.55,0.6796
01423000,hbv_lite_cma,evaluation,0.700555,0.652175,-0.191679,-0.253119,-0.702484,13,explicit_euler_dt1,hbv,success,,35.79,0.7423
01434025,hbv_lite_cma,evaluation,0.557206,0.713323,-0.000546,-0.167985,1.296409,13,explicit_euler_dt1,hbv,success,,28.56,0.641
01435000,hbv_lite_cma,evaluation,0.662461,0.706061,-0.083835,-0.21952,0.558524,13,explicit_euler_dt1,hbv,success,,28.5,0.6977
01439500,hbv_lite_cma,evaluation,0.719227,0.671223,-0.077647,-0.237438,1.916577,13,explicit_euler_dt1,hbv,success,,30.87,0.7931
01440000,hbv_lite_cma,evaluation,0.555234,0.616265,-0.133151,-0.262521,0.896737,13,explicit_euler_dt1,hbv,success,,33.5,0.7109
01440400,hbv_lite_cma,evaluation,0.658024,0.751858,0.003631,-0.141981,1.747663,13,explicit_euler_dt1,hbv,success,,28.51,0.6633
01451800,hbv_lite_cma,evaluation,0.650503,0.745748,0.0238,-0.16063,0.805115,13,explicit_euler_dt1,hbv,success,,28.33,0.7457
01466500,hbv_lite_cma,evaluation,-0.283923,0.412219,0.454383,0.216139,1.120483,13,explicit_euler_dt1,hbv,success,,68.49,0.1318
01484100,hbv_lite_cma,evaluation,0.581268,0.649349,0.181381,-0.066672,0.948733,13,explicit_euler_dt1,hbv,success,,30.67,0.4977
01487000,hbv_lite_cma,evaluation,0.773947,0.812576,0.152201,0.039854,0.469614,13,explicit_euler_dt1,hbv,success,,28.59,0.8107
01491000,hbv_lite_cma,evaluation,0.696656,0.694598,-0.016148,-0.161424,1.04565,13,explicit_euler_dt1,hbv,success,,28.2,0.7265
01510000,hbv_lite_cma,evaluation,0.689715,0.687749,-0.028053,-0.245032,2.075773,13,explicit_euler_dt1,hbv,success,,29.62,0.7749
01516500,hbv_lite_cma,evaluation,0.492657,0.512272,0.109132,-0.169704,4.797493,13,explicit_euler_dt1,hbv,success,,28.23,0.6753
01518862,hbv_lite_cma,evaluation,0.585135,0.604273,-0.028383,-0.233294,3.523216,13,explicit_euler_dt1,hbv,success,,28.23,0.683
01532000,hbv_lite_cma,evaluation,0.509809,0.496895,-0.050868,-0.22611,1.21452,13,explicit_euler_dt1,hbv,success,,28.08,0.6631
01539000,hbv_lite_cma,evaluation,0.663148,0.738348,-0.042174,-0.183592,1.186934,13,explicit_euler_dt1,hbv,success,,28.51,0.6632
01542810,hbv_lite_cma,evaluation,0.620794,0.672507,-0.005583,-0.209244,3.368131,13,explicit_euler_dt1,hbv,success,,28.27,0.6708
01543000,hbv_lite_cma,evaluation,0.660334,0.687428,-0.018021,-0.209578,2.089286,13,explicit_euler_dt1,hbv,success,,33.34,0.75
01543500,hbv_lite_cma,evaluation,0.685362,0.699308,-0.1014,-0.225867,0.703645,13,explicit_euler_dt1,hbv,success,,33.44,0.7514
01544500,hbv_lite_cma,evaluation,0.721272,0.671641,-0.115941,-0.233452,0.807804,13,explicit_euler_dt1,hbv,success,,36.47,0.7294
01545600,hbv_lite_cma,evaluation,0.64971,0.586473,-0.137296,-0.286386,0.735385,13,explicit_euler_dt1,hbv,success,,36.94,0.7033
01547700,hbv_lite_cma,evaluation,0.674199,0.70093,-0.177508,-0.217221,-0.898286,13,explicit_euler_dt1,hbv,success,,28.01,0.6495
01548500,hbv_lite_cma,evaluation,0.722204,0.685401,-0.13734,-0.24128,0.771407,13,explicit_euler_dt1,hbv,success,,36.01,0.7667
01549500,hbv_lite_cma,evaluation,0.627917,0.534669,-0.19604,-0.336071,1.543206,13,explicit_euler_dt1,hbv,success,,28.41,0.7432
01550000,hbv_lite_cma,evaluation,0.63045,0.58071,-0.131586,-0.290122,1.229658,13,explicit_euler_dt1,hbv,success,,28.47,0.7195
01552000,hbv_lite_cma,evaluation,0.642136,0.633488,-0.134203,-0.280612,1.053777,13,explicit_euler_dt1,hbv,success,,28.52,0.7077
01552500,hbv_lite_cma,evaluation,0.584339,0.613609,-0.138188,-0.245886,1.349401,13,explicit_euler_dt1,hbv,success,,28.47,0.6691
01557500,hbv_lite_cma,evaluation,0.664576,0.742901,-0.020893,-0.199609,1.612717,13,explicit_euler_dt1,hbv,success,,28.48,0.7488
01567500,hbv_lite_cma,evaluation,0.466417,0.584931,0.113189,-0.12611,0.874954,13,explicit_euler_dt1,hbv,success,,28.43,0.5898
01568000,hbv_lite_cma,evaluation,0.499244,0.699677,0.038391,-0.149045,0.846534,13,explicit_euler_dt1,hbv,success,,28.39,0.6878
01580000,hbv_lite_cma,evaluation,0.528804,0.514569,-0.063916,-0.268586,0.257354,13,explicit_euler_dt1,hbv,success,,28.87,0.6137
01583500,hbv_lite_cma,evaluation,0.52188,0.62176,-0.009574,-0.178308,0.224093,13,explicit_euler_dt1,hbv,success,,28.74,0.5295
01586610,hbv_lite_cma,evaluation,0.479171,0.668053,-0.076197,-0.133185,-0.100594,13,explicit_euler_dt1,hbv,success,,28.38,0.5813
01591400,hbv_lite_cma,evaluation,0.470021,0.619923,0.020491,-0.030283,0.383588,13,explicit_euler_dt1,hbv,success,,28.25,0.5159
01594950,hbv_lite_cma,evaluation,0.581815,0.730655,-0.037312,-0.170161,3.747878,13,explicit_euler_dt1,hbv,success,,28.76,0.6485
01596500,hbv_lite_cma,evaluation,0.584301,0.671606,-0.078252,-0.236284,1.774385,13,explicit_euler_dt1,hbv,success,,28.47,0.7129
01605500,hbv_lite_cma,evaluation,0.5421,0.649212,0.120012,-0.083978,0.294616,13,explicit_euler_dt1,hbv,success,,28.31,0.629
