rank,basin_id,seed,arm_id,events_passed,multiclass_brier,stable_true_negative_log_probability,selection_threshold_exclusive,source_probability_path,source_probability_bytes,source_probability_sha256
1,05501000,1,C,3,1.0605353236543815,1173499.16782037,1000.0,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/05501000_s1.npz,81062,50c510a938796dfddcbe99acb1c549162ae5e54d843496990294ff689613e859
2,07145700,0,C,3,1.063286662564886,149597.864266645,1000.0,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/07145700_s0.npz,87101,7a77d3d8436ad75ca612116ba1b8ac9f34fa3eb574846d0c8d0f37fcc29f700f
3,07145700,1,C,2,1.0905908676561822,148480.3640258809,1000.0,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/07145700_s1.npz,86717,807527bad3798b9f25ba541c9e65f871f9779e2dbe23b260622e5c1637341e09
4,02193340,0,C,5,0.6249250078121953,94527.390937742,1000.0,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/02193340_s0.npz,89964,abcd9030c03003d4b7665cc997404467c92b4633cea399ea3a57f6805f8b0664
5,02193340,1,C,5,0.6258456768844748,93816.04040446295,1000.0,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/02193340_s1.npz,89931,5ba8f4d7217f6a8d079ae0a63fa7a06f25ab34ee96c2513dd087792809587fd3
6,02096846,0,C,4,0.4041718607646657,28970.277398336373,1000.0,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/02096846_s0.npz,91974,dfeaa46a06b8c9dbac41edff6d5752d4c6fe01e1800e7f9619574b5a27ab2e44
7,02349900,1,C,3,0.4886593947156252,18429.82863569476,1000.0,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/02349900_s1.npz,91076,aa229e432868c884245e14de127dac6256d6a47a1eb87b0f8eff45c2e11c02cd
8,02221525,1,C,4,0.7447501514804449,3755.431465841276,1000.0,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/02221525_s1.npz,90814,7e4ba60b588202768c936ebdf3016d037bdf1c1df6aebc30f99dc58be093bcd9
9,05413500,0,C,3,0.9952917395594144,3100.937887668014,1000.0,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/05413500_s0.npz,84515,6c804169997a87b3a0f9782e2e2e6be049bea765e67a067dc41cd8faca0e776e
10,02096846,1,C,4,0.3740372011856829,1364.064251219173,1000.0,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/02096846_s1.npz,92381,81adffa41e7591e86e16f06fe03398452b4eb7156fbcaae3e8e3c6a47ca4ae7b
