basin_id,rmin_tertile,initial_half_capacity_overflow,cell_size,cell_allocation,within_cell_index_zero_based,within_cell_rank_fraction,r_min,state_SM,fc_member2,fc_clipped_any,predicted_identifiable,feasible_zero_clipping,n_forcing_days
08190500,1,False,77,16,4,0.05263157894736842,1.694568265328222e-12,861.0261580078912,1249.999999999694,True,False,True,1260
07299670,1,False,77,16,9,0.11842105263157894,5.170481799839011e-09,1057.8092507604156,1249.9999988357804,True,False,True,1260
08198500,1,False,77,16,13,0.17105263157894737,9.199697514586073e-08,951.0536078255878,1249.9999927318047,True,False,True,1260
08195000,1,False,77,16,18,0.23684210526315788,2.1367394455901208e-05,449.9135867400323,1249.9977635522937,True,False,True,1260
08202700,1,False,77,16,22,0.2894736842105263,0.0008829177334107,48.79737870617123,182.45620877591395,False,False,True,1260
08164300,1,False,77,16,27,0.35526315789473684,0.0312523633402962,194.805837828954,249.777160500507,False,False,True,1260
08109700,1,False,77,16,31,0.40789473684210525,0.052327905840734,11.086809578012868,110.97100461449354,False,False,True,1260
06350000,1,False,77,16,36,0.47368421052631576,0.124868639985025,239.72628491136928,832.1398898076899,True,False,True,1260
06332515,1,False,77,16,40,0.5263157894736842,0.1811038292306066,665.1529690977244,1036.6304547261848,True,False,True,1260
12377150,1,False,77,16,45,0.5921052631578947,0.3741929437392153,44.96225646018436,50.0,True,False,True,1260
07301410,1,False,77,16,49,0.6447368421052632,0.4741521222941837,754.1696928201135,934.8024575445846,True,False,True,1260
06632400,1,False,77,16,54,0.7105263157894737,0.665553727007877,26.16257761181489,83.14635132407022,False,False,True,1260
01411300,1,False,77,16,58,0.7631578947368421,0.8850051358520056,113.6575010646132,136.0699027694212,False,False,True,1260
09512280,1,False,77,16,63,0.8289473684210527,0.9854617769893792,971.9787220473384,1155.7575818305984,True,False,True,1260
11141280,1,False,77,16,67,0.881578947368421,1.1650783531001645,388.7220038597804,1068.6985932882576,True,False,True,1260
08171300,1,False,77,16,72,0.9473684210526315,1.4375569072166774,85.79366301692001,183.41353887059464,False,False,True,1260
09107000,1,True,100,16,6,0.06060606060606061,4.196771681652123e-10,1848.808541658838,1249.9999999203685,True,False,True,1260
14303200,1,True,100,16,12,0.12121212121212122,8.181504695043838e-09,2108.417529893324,1249.999999634491,True,False,True,1260
11473900,1,True,100,16,17,0.1717171717171717,7.24611057285535e-08,1758.5988306909262,1249.9999993829754,True,False,True,1260
08380500,1,True,100,16,23,0.23232323232323232,3.697222490823159e-07,1270.0096838707923,1249.999962762826,True,False,True,1260
09312600,1,True,100,16,29,0.29292929292929293,4.719773698662174e-06,1740.7180562645613,1249.9997347638755,True,False,True,1260
04127997,1,True,100,16,35,0.35353535353535354,1.1937484126984896e-05,1412.1638928034645,1249.9963336963142,True,False,True,1260
06623800,1,True,100,16,41,0.41414141414141414,4.648398814400841e-05,1789.9092594241947,1249.9897706349786,True,False,True,1260
06404000,1,True,100,16,47,0.47474747474747475,0.0036252062200651,1315.606025771156,1249.0979012620085,True,False,True,1260
09047700,1,True,100,16,52,0.5252525252525253,0.038665473362425,243.9697449947685,195.396806248406,False,False,True,1260
05413500,1,True,100,16,58,0.5858585858585859,0.3000882837370404,282.2161240768683,247.51201739125875,False,False,True,1260
08378500,1,True,100,16,64,0.6464646464646465,0.5042867039281024,595.5416860827272,546.3070619386566,False,False,True,1260
08050800,1,True,100,16,70,0.7070707070707071,0.9887292586578894,86.01234887268205,64.90339481097365,False,False,True,1260
04115265,1,True,100,16,76,0.7676767676767676,1.1037944195956713,133.2323203252956,125.18004288927862,False,False,True,1260
04105700,1,True,100,16,82,0.8282828282828283,1.2858629166780209,211.9574148550984,123.92746241215195,False,False,True,1260
14138900,1,True,100,16,87,0.8787878787878788,1.4228950449927866,168.79257814353363,135.10794788156454,False,False,True,1260
12035000,1,True,100,16,93,0.9393939393939394,1.7170538211623847,116.24134306597104,110.7282684478178,False,False,True,1260
12025700,2,False,31,16,2,0.06666666666666667,2.2261018409259314,50.13771194048068,103.0708870515438,False,True,True,1260
14158790,2,False,31,16,4,0.13333333333333333,2.5993547665410475,93.0973833004841,113.7095285061384,False,True,True,1260
14222500,2,False,31,16,5,0.16666666666666666,2.8890908661249446,159.89206742519494,181.4589111585958,False,True,True,1260
09510200,2,False,31,16,7,0.23333333333333334,3.0053012943335564,58.47535486949848,149.225026200125,False,True,True,1260
13161500,2,False,31,16,9,0.3,3.079372944822237,148.9928144977601,382.7138309023669,False,True,True,1260
02430085,2,False,31,16,11,0.36666666666666664,3.446500605498478,95.17095070462489,123.8363826002899,False,True,True,1260
11522500,2,False,31,16,12,0.4,3.860135969039248,5.105709060278699,53.97320718451063,False,True,True,1260
14306340,2,False,31,16,14,0.4666666666666667,4.525952385205063,50.87673205863618,135.41800805936566,False,True,True,1260
11381500,2,False,31,16,16,0.5333333333333333,4.878426162938924,195.9520417269644,465.7981139923559,False,True,True,1260
09505350,2,False,31,16,18,0.6,5.194765280018834,215.74350439048027,487.7017111629282,False,True,True,1260
03241500,2,False,31,16,19,0.6333333333333333,5.717519790287776,61.118824698025584,100.51638782324386,False,True,True,1260
02017500,2,False,31,16,21,0.7,6.347314464951421,95.99510010259075,98.65656979876135,False,True,True,1260
05399500,2,False,31,16,23,0.7666666666666667,6.8301344120363305,92.44187662043636,140.5041335058217,False,True,True,1260
02349900,2,False,31,16,25,0.8333333333333334,6.954737215336264,127.89869454821668,155.60222097439708,False,True,True,1260
02221525,2,False,31,16,26,0.8666666666666667,7.138033372928018,117.06135324026155,129.80797251002974,False,True,True,1260
14316700,2,False,31,16,28,0.9333333333333333,7.695200538554209,114.19707634251095,193.36663921163304,False,True,True,1260
06278300,2,True,146,16,9,0.06206896551724138,2.3852141901332677,554.1737560446786,435.4031968891162,False,True,True,1260
08271000,2,True,146,16,17,0.11724137931034483,2.546092747088444,154.14857975945975,122.18595672099194,False,True,True,1260
07315200,2,True,146,16,26,0.1793103448275862,2.7984737085168416,993.1454074241982,695.2414706418795,True,True,True,1260
03049800,2,True,146,16,34,0.23448275862068965,3.1569155472870647,311.337806497715,204.0488169006486,False,True,True,1260
02027000,2,True,146,16,43,0.296551724137931,3.605877733473154,150.10445697637402,88.12179945266433,False,True,True,1260
07145700,2,True,146,16,51,0.35172413793103446,3.804580864403612,116.33554407325938,75.01272110248226,False,True,True,1260
03473000,2,True,146,16,60,0.41379310344827586,4.242983613755682,179.4779415017582,108.34658110665524,False,True,True,1260
12178100,2,True,146,16,68,0.4689655172413793,4.952896354171943,1104.7557649302669,666.2037603949314,True,True,True,1260
01667500,2,True,146,16,77,0.5310344827586206,5.178320085828246,428.7812544340364,255.41435750891924,False,True,True,1260
14137000,2,True,146,16,85,0.5862068965517241,5.491810127793814,774.4978130665701,507.9251575770086,False,True,True,1260
01552500,2,True,146,16,94,0.6482758620689655,6.062262640863184,245.46829498507296,129.3034906759009,False,True,True,1260
02152100,2,True,146,16,102,0.7034482758620689,6.365399236340491,256.3132808702208,152.19082376761736,False,True,True,1260
01435000,2,True,146,16,111,0.7655172413793103,6.700455406308585,409.39226089023776,220.55891349403004,False,True,True,1260
04233000,2,True,146,16,119,0.8206896551724138,7.219214555655841,404.5434601264666,239.0845047999576,False,True,True,1260
02014000,2,True,146,16,128,0.8827586206896552,7.849618843155348,321.42524740002506,217.1830260436146,False,True,True,1260
01510000,2,True,146,16,136,0.9379310344827586,8.409366301423942,371.9821581846483,209.4558670748438,False,True,True,1260
02193340,3,False,9,9,0,0.0,9.948433024568391,164.98350703680137,166.801956510817,False,True,True,1260
11148900,3,False,9,9,1,0.125,10.330225676613392,9.236246185634773,110.7044926634819,False,True,True,1260
11264500,3,False,9,9,2,0.25,10.877423391535253,260.0618215845005,280.281738695184,False,True,True,1260
11266500,3,False,9,9,3,0.375,11.068507482225524,34.0154981293684,187.51513530100755,False,True,True,1260
11482500,3,False,9,9,4,0.5,14.79251623542598,54.42247091267211,189.17024832898844,False,True,True,1260
11481200,3,False,9,9,5,0.625,15.791831895764764,164.75540200139108,271.69528559784044,False,True,True,1260
11476600,3,False,9,9,6,0.75,21.320901392304183,20.806738467465365,148.81747964671723,False,True,True,1260
03384450,3,False,9,9,7,0.875,23.78062753537897,92.138324941346,113.6350982053863,False,True,True,1260
11451100,3,False,9,9,8,1.0,25.97829161906549,74.79600997074768,171.80910568504015,False,True,True,1260
01144000,3,True,168,17,9,0.05389221556886228,9.409503855880994,344.1274646728808,191.08313560383385,False,True,True,1260
02046000,3,True,168,17,19,0.11377245508982035,10.259059175533434,284.5298430966356,151.2576458969768,False,True,True,1260
02028500,3,True,168,17,28,0.16766467065868262,11.22842643382877,461.3108276211228,259.08109860201483,False,True,True,1260
02202600,3,True,168,17,37,0.2215568862275449,11.625508531641197,388.0624779683147,249.58528446268784,False,True,True,1260
02371500,3,True,168,17,46,0.2754491017964072,12.058346241763768,332.63245463013334,212.590112127474,False,True,True,1260
05488200,3,True,168,17,56,0.33532934131736525,12.794917585977936,474.46457511015865,267.07311623614305,False,True,True,1260
