order,basin_id,seed,arm_id,events_passed,multiclass_brier,stable_true_negative_log_probability,source_probability_path,source_probability_bytes,source_probability_sha256
1,08190500,0,C,2,0.3740852725245617,0.5830266422752326,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/08190500_s0.npz,86988,a3b2f4d126ecfebeda4c644a8fd076332deade847937aaf662f2b002118281a5
2,08190500,1,C,2,0.3717027774419063,0.5765118147284425,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/08190500_s1.npz,86894,dee7f30b744238ad24fab864e1952bb1e314a08d7cccbe96ea56a8fad2b49638
3,07299670,0,C,2,0.3750130391718397,0.5778016359981667,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/07299670_s0.npz,89469,77b5f79e884c2f38729f49f7af7bed72b23d35c6d5e7406000c43fb869936ea3
4,07299670,1,C,2,0.371307345612249,0.5662715719929382,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/07299670_s1.npz,89546,e97593e37f438e249ff8c32a73f2ea4a43e5ad6f734ed83b02a7bd1e8cff585f
5,08198500,0,C,2,0.4356025048058807,0.7083091527225933,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/08198500_s0.npz,92333,f2237d5cc7ac06c02f59b78dcac3c059bd4b84c8083ceb13681829a1dd16cb5e
6,08198500,1,C,2,0.5251314689735724,0.883143398551796,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/08198500_s1.npz,92172,726c8acaaee4ded6c310f1bf3f0cd05acdcfaf41a7ba2ee246a4ce878634fdde
7,08195000,0,C,2,0.5248933613408355,0.8857030382888625,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/08195000_s0.npz,94710,1aad41a01268950eb05287d15fa85f419aab97454abc2c6b9abf7a195c5a326b
8,08195000,1,C,2,0.4675623566661039,0.7829055038911139,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/08195000_s1.npz,94757,e312775d70479c666175e70c63ab56e75312af3f290b424c75658e7db10f627b
9,08202700,0,C,2,0.4853411845208384,0.8057507150837145,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/08202700_s0.npz,95873,4a719a6f9b78e715d329247d93b4657e9110153577eb234bd7ce9912a6cf53cf
10,08202700,1,C,3,0.4652897859788181,0.9663926539882144,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/08202700_s1.npz,95710,39b2d928bf4af5f5aa1551e5e95ae184152e9ec96d82971fed706fdf06c3b9c7
11,08164300,0,C,4,0.2706212321984931,0.8040960610490304,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/08164300_s0.npz,94630,cbe724d41fe9d9bff9eae8562806485b3099c3e8484aacc1549ba07e1e15d5b7
12,08164300,1,C,4,0.378598041967508,0.9308834488335188,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/08164300_s1.npz,94925,24a42fbe0eb461328fa98fa2f6a87c6fd9b8640243556cba7db523339754c0da
13,08109700,0,C,4,0.2359041095157816,0.4309272479789119,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/08109700_s0.npz,92603,2afd0a8cefc95496901479b89318bfa63ac22956e8870b4ba913187b07cab777
14,08109700,1,C,3,0.2341049964019636,0.4215525585865007,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/08109700_s1.npz,92407,d68d714827df8fe75449433de4b76eec69c389896f54c1c56ba270eaf2f69fcc
15,06350000,0,C,4,0.4027162566166851,0.6826268338831635,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/06350000_s0.npz,96632,42228616b270e21d0e95440c1adb2284393e3c8f7724ec26d0843a092e00f9fc
16,06350000,1,C,2,0.3953742786482035,0.6660958882024518,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/06350000_s1.npz,96723,8edacb092257cacd6f7c54c1031c23b42c7f0f185696b4048ef0e07dc961c17f
17,06332515,0,C,6,0.2386265721926006,0.4315324301143375,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/06332515_s0.npz,96260,c580c0171010157e4bde1d0f7772ff8bfe22ea3b4da5114011d40608c1a763ee
18,06332515,1,C,6,0.2205358585277938,0.4215181400510996,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/06332515_s1.npz,96181,ba5abeb0e037f208c0f1613c2b806d14309481cc542dbe7cec43b84db65eb536
19,12377150,0,C,3,1.087439333073802,5.98308761497959,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/12377150_s0.npz,96066,477f8428f78f4a4e9869e69fe3e82a9822e5baa593a4f3779809f2a2036d0ad4
20,12377150,1,C,5,0.4141681850760524,0.7386035725983742,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/12377150_s1.npz,96434,2139f2f6fb6c1f2e480ae7166977efb38ca6ba2fe757d0e85558496a410e91e7
21,07301410,0,C,4,0.3343484953190995,0.5654289706928123,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/07301410_s0.npz,97851,d310358919fde7ea83d4c8c7820e78dffd83971faf8a166fd45411f32bd185fe
22,07301410,1,C,2,0.391168327644538,0.6476103115319684,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/07301410_s1.npz,97865,4753e0e5596ee4b64773509b71e9b3d126cfd25be201aa3b226f72d25c4cd220
23,06632400,0,C,5,0.8051114231913848,1.5536121800815172,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/06632400_s0.npz,94069,e5d7eda976b8461bdde56d587ae4800a1144f8d44947757fbeee9dd70b8de3f5
24,06632400,1,C,4,0.7944244071961339,1.624466792676844,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/06632400_s1.npz,93925,154094956c164173a79cd091f1c7b9e58a04735c039aa94cdf65d46b5a225fdf
25,01411300,0,C,4,0.8490842250360561,38.54661328296397,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/01411300_s0.npz,96407,c374a9fb2436ec6f1411de0d4aa323b2371ddab6240dcbf61780f288d357f1eb
26,01411300,1,C,6,0.3204757233670701,0.6368995612196995,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/01411300_s1.npz,97650,a4a97fc481710e2ed2d494131b941dad0c0fa81e38f01ccd7fd154c48a278cfe
