gauge_id;for_pc_use;cly_pc_uav;slt_pc_uav;snd_pc_uav
01022500;88.50187959;6.521191128;29.81115944;55.89592395
01052500;100.0066692;8.000533539;37.00246762;56.00373477
01054200;39.75748917;3.347999088;14.64749601;23.8544935
01055000;62.60078141;5.058649003;22.13158939;35.41054302
01057000;74.34813083;6.691331775;25.27836448;42.37843458
01073000;84.99075017;5.150954556;26.6132652;54.08502283
01078000;58.29238358;4.080466851;19.81941042;33.80958248
01123000;1.0565446;0.073958122;0.348659718;0.63392676
01134500;55.47340809;4.437872647;19.41569283;31.61984261
01137500;67.24934883;4.117307071;23.33140674;41.17307071
01139000;93.56656677;9.356656677;33.68396404;50.52594606
01139800;8.708321875;0.957915406;3.309162312;4.528327375
01142500;10.35963977;0.96120369;3.951615172;5.660421733
01144000;94.67954412;9.760777745;36.11487765;51.73212205
01162500;59.29107396;3.088076769;19.14607596;38.90976728
01169000;57.65050715;3.459030429;19.60117243;34.01379922
01170100;16.46989442;1.416765112;6.198347363;10.27154706
01181000;88.33921991;5.300353195;30.03533477;52.12013975
01187300;22.22585001;1.555809501;7.334530504;13.33551001
01333000;44.23363874;6.192709424;17.6934555;19.90513744
01350080;68.55839167;13.39646734;31.52109962;33.88518209
01350140;80.90445349;15.45365966;36.36155213;39.08866854
01365000;20.74321062;3.733777912;8.297284248;8.919580567
01411300;37.54594192;5.256431869;11.63924199;21.02572747
01413500;54.18408183;13.54602046;30.85482437;30.85482437
01414500;66.01758089;15.43268125;35.15221839;35.15221839
01415000;70.03352145;15.95700489;36.34651113;36.34651113
01434025;4.788538199;0.847970306;1.995224249;2.194746674
01435000;51.98494652;9.017796846;20.68788688;23.34018007
01439500;86.30360715;14.67161322;33.65840679;37.11055107
01440000;38.80518804;7.372985728;15.9101271;15.9101271
01440400;60.13241999;10.8238356;24.052968;25.2556164
01451800;19.53856851;10.56138838;22.1789156;20.59470734
01466500;1.92288317;0.11537299;0.499949624;1.307560556
01484100;2.984742654;0.906082592;1.758866207;2.611649823
01487000;40.87817888;11.32011107;21.38243203;30.18696287
01491000;54.4354413;13.24105329;25.01087844;35.30947544
01510000;70.62768787;14.46591197;33.18650394;36.59024793
01516500;70.11408356;13.39257776;29.93635028;34.66314243
01518862;75.9085136;13.58362875;31.16244243;34.35859037
01532000;85.50132376;17.8956259;38.77385613;42.75066188
01539000;81.33791586;15.74282243;34.98404983;36.73325233
01542810;1.78374551;0.338911647;0.713498204;0.713498204
01543000;85.29540087;16.20612617;34.97111436;34.11816035
01543500;99.81795775;18.96541197;40.92536268;39.9271831
01544500;70.74572346;13.44168746;28.29828938;29.71320385
01545600;32.74570684;6.221684299;13.09828273;13.75319687
01547700;65.34296378;12.12549843;27.61919087;27.61919087
01548500;92.76530768;17.0385259;36.91680612;40.70314521
