basin,timezone,std_offset_h,split
01022500,America/New_York,-5,holdout
01031500,America/New_York,-5,public
01047000,America/New_York,-5,public
01052500,America/New_York,-5,public
01054200,America/New_York,-5,public
01055000,America/New_York,-5,holdout
01057000,America/New_York,-5,public
01073000,America/New_York,-5,public
01078000,America/New_York,-5,public
01123000,America/New_York,-5,public
01134500,America/New_York,-5,holdout
01137500,America/New_York,-5,public
01139000,America/New_York,-5,public
01139800,America/New_York,-5,public
01142500,America/New_York,-5,public
01144000,America/New_York,-5,holdout
01162500,America/New_York,-5,public
01169000,America/New_York,-5,public
01170100,America/New_York,-5,public
01181000,America/New_York,-5,public
01187300,America/New_York,-5,holdout
01195100,America/New_York,-5,public
04296000,America/New_York,-5,holdout
01333000,America/New_York,-5,public
01350000,America/New_York,-5,public
01350080,America/New_York,-5,public
01350140,America/New_York,-5,holdout
01365000,America/New_York,-5,public
01411300,America/New_York,-5,public
01413500,America/New_York,-5,public
01414500,America/New_York,-5,public
01415000,America/New_York,-5,holdout
01423000,America/New_York,-5,public
01434025,America/New_York,-5,public
01435000,America/New_York,-5,public
01439500,America/New_York,-5,public
01440000,America/New_York,-5,holdout
01440400,America/New_York,-5,public
01451800,America/New_York,-5,public
01466500,America/New_York,-5,public
01484100,America/New_York,-5,public
01487000,America/New_York,-5,holdout
01491000,America/New_York,-5,public
01510000,America/New_York,-5,public
01516500,America/New_York,-5,public
01518862,America/New_York,-5,public
01532000,America/New_York,-5,holdout
01539000,America/New_York,-5,public
01542810,America/New_York,-5,public
01543000,America/New_York,-5,public
01543500,America/New_York,-5,public
01544500,America/New_York,-5,holdout
01545600,America/New_York,-5,public
01547700,America/New_York,-5,public
01548500,America/New_York,-5,public
01549500,America/New_York,-5,public
01550000,America/New_York,-5,holdout
01552000,America/New_York,-5,public
01552500,America/New_York,-5,public
01557500,America/New_York,-5,public
01567500,America/New_York,-5,public
01568000,America/New_York,-5,holdout
01580000,America/New_York,-5,public
01583500,America/New_York,-5,public
01586610,America/New_York,-5,public
01591400,America/New_York,-5,public
01594950,America/New_York,-5,holdout
01596500,America/New_York,-5,public
01605500,America/New_York,-5,public
01606500,America/New_York,-5,public
01632000,America/New_York,-5,public
01632900,America/New_York,-5,holdout
01634500,America/New_York,-5,public
01638480,America/New_York,-5,public
01639500,America/New_York,-5,public
01644000,America/New_York,-5,public
01664000,America/New_York,-5,holdout
01666500,America/New_York,-5,public
01667500,America/New_York,-5,public
01669000,America/New_York,-5,public
01669520,America/New_York,-5,public
02011400,America/New_York,-5,holdout
02013000,America/New_York,-5,public
02014000,America/New_York,-5,public
02015700,America/New_York,-5,public
02016000,America/New_York,-5,public
02017500,America/New_York,-5,holdout
02018000,America/New_York,-5,public
02027000,America/New_York,-5,public
02027500,America/New_York,-5,public
02028500,America/New_York,-5,public
02038850,America/New_York,-5,holdout
02046000,America/New_York,-5,public
02051500,America/New_York,-5,public
02053200,America/New_York,-5,public
02053800,America/New_York,-5,public
02055100,America/New_York,-5,holdout
02056900,America/New_York,-5,public
02059500,America/New_York,-5,public
02064000,America/New_York,-5,public
02065500,America/New_York,-5,public
02069700,America/New_York,-5,holdout
02070000,America/New_York,-5,public
02074500,America/New_York,-5,public
02077200,America/New_York,-5,public
02081500,America/New_York,-5,public
02082950,America/New_York,-5,holdout
02092500,America/New_York,-5,public
02096846,America/New_York,-5,public
02102908,America/New_York,-5,public
02108000,America/New_York,-5,public
02111180,America/New_York,-5,holdout
02111500,America/New_York,-5,public
02112120,America/New_York,-5,public
02112360,America/New_York,-5,public
02118500,America/New_York,-5,public
02125000,America/New_York,-5,holdout
02128000,America/New_York,-5,public
02137727,America/New_York,-5,public
02140991,America/New_York,-5,public
02143000,America/New_York,-5,public
02143040,America/New_York,-5,holdout
02149000,America/New_York,-5,public
02152100,America/New_York,-5,public
02177000,America/New_York,-5,public
02178400,America/New_York,-5,public
02193340,America/New_York,-5,holdout
02196000,America/New_York,-5,public
02198100,America/New_York,-5,public
02202600,America/New_York,-5,public
02212600,America/New_York,-5,public
02215100,America/New_York,-5,holdout
02216180,America/New_York,-5,public
02221525,America/New_York,-5,public
02231000,America/New_York,-5,public
02245500,America/New_York,-5,public
02246000,America/New_York,-5,holdout
02296500,America/New_York,-5,public
02297155,America/New_York,-5,public
02297310,America/New_York,-5,public
02298123,America/New_York,-5,public
02298608,America/New_York,-5,holdout
02299950,America/New_York,-5,public
02300700,America/New_York,-5,public
02342933,America/Chicago,-6,public
02349900,America/New_York,-5,public
02350900,America/New_York,-5,holdout
02361000,America/Chicago,-6,public
02363000,America/Chicago,-6,public
02369800,America/Chicago,-6,public
02371500,America/Chicago,-6,public
02372250,America/Chicago,-6,holdout
02374500,America/Chicago,-6,public
02381600,America/New_York,-5,public
02384540,America/New_York,-5,public
02395120,America/New_York,-5,public
02415000,America/Chicago,-6,holdout
02427250,America/Chicago,-6,public
02430085,America/Chicago,-6,public
02450250,America/Chicago,-6,public
02464000,America/Chicago,-6,public
02464360,America/Chicago,-6,holdout
02465493,America/Chicago,-6,public
02469800,America/Chicago,-6,public
02472000,America/Chicago,-6,public
02472500,America/Chicago,-6,public
02479155,America/Chicago,-6,holdout
02479300,America/Chicago,-6,public
02479560,America/Chicago,-6,public
02481000,America/Chicago,-6,public
02481510,America/Chicago,-6,public
04015330,America/Chicago,-6,public
04024430,America/Chicago,-6,public
04027000,America/Chicago,-6,public
04040500,America/Detroit,-5,public
04043050,America/Detroit,-5,holdout
04045500,America/Detroit,-5,public
04057510,America/Detroit,-5,public
04057800,America/Detroit,-5,public
04059500,America/Detroit,-5,public
04063700,America/Chicago,-6,holdout
04074950,America/Chicago,-6,public
04105700,America/Detroit,-5,public
04115265,America/Detroit,-5,public
04122200,America/Detroit,-5,public
04122500,America/Detroit,-5,holdout
04127918,America/Detroit,-5,public
04127997,America/Detroit,-5,public
04185000,America/New_York,-5,public
04196800,America/New_York,-5,holdout
04197100,America/New_York,-5,public
04197170,America/New_York,-5,public
04213000,America/New_York,-5,public
04213075,America/New_York,-5,public
04216418,America/New_York,-5,holdout
04221000,America/New_York,-5,public
04224775,America/New_York,-5,public
04233000,America/New_York,-5,public
04256000,America/New_York,-5,public
03010655,America/New_York,-5,holdout
03011800,America/New_York,-5,public
03015500,America/New_York,-5,public
03021350,America/New_York,-5,public
03026500,America/New_York,-5,public
03028000,America/New_York,-5,holdout
03049000,America/New_York,-5,public
03049800,America/New_York,-5,public
03050000,America/New_York,-5,public
03069500,America/New_York,-5,public
03070500,America/New_York,-5,holdout
03076600,America/New_York,-5,public
03078000,America/New_York,-5,public
03140000,America/New_York,-5,public
03144000,America/New_York,-5,public
03170000,America/New_York,-5,holdout
03173000,America/New_York,-5,public
03180500,America/New_York,-5,public
03182500,America/New_York,-5,public
03186500,America/New_York,-5,public
03237280,America/New_York,-5,holdout
03237500,America/New_York,-5,public
03238500,America/New_York,-5,public
03241500,America/New_York,-5,public
03280700,America/New_York,-5,public
03281500,America/New_York,-5,holdout
03285000,America/New_York,-5,public
03291780,America/Indiana/Indianapolis,-5,public
03338780,America/Chicago,-6,public
03340800,America/Indiana/Indianapolis,-5,public
03346000,America/Chicago,-6,holdout
03364500,America/Indiana/Indianapolis,-5,public
03366500,America/Indiana/Indianapolis,-5,public
03384450,America/Chicago,-6,public
03439000,America/New_York,-5,holdout
03455500,America/New_York,-5,public
03456500,America/New_York,-5,public
03460000,America/New_York,-5,public
03463300,America/New_York,-5,public
03471500,America/New_York,-5,holdout
03473000,America/New_York,-5,public
03479000,America/New_York,-5,public
03488000,America/New_York,-5,public
03498500,America/New_York,-5,public
03500000,America/New_York,-5,holdout
03500240,America/New_York,-5,public
03504000,America/New_York,-5,public
03574500,America/Chicago,-6,public
03592718,America/Chicago,-6,public
03604000,America/Chicago,-6,holdout
05291000,America/Chicago,-6,public
05362000,America/Chicago,-6,public
05393500,America/Chicago,-6,holdout
05399500,America/Chicago,-6,public
05408000,America/Chicago,-6,public
05413500,America/Chicago,-6,public
05414000,America/Chicago,-6,public
05444000,America/Chicago,-6,holdout
05454000,America/Chicago,-6,public
05458000,America/Chicago,-6,public
05466500,America/Chicago,-6,public
05487980,America/Chicago,-6,public
05488200,America/Chicago,-6,holdout
05489000,America/Chicago,-6,public
05495000,America/Chicago,-6,public
05495500,America/Chicago,-6,public
05501000,America/Chicago,-6,public
05503800,America/Chicago,-6,holdout
05507600,America/Chicago,-6,public
05508805,America/Chicago,-6,public
05525500,America/Chicago,-6,public
05556500,America/Chicago,-6,public
05584500,America/Chicago,-6,holdout
05591550,America/Chicago,-6,public
05592050,America/Chicago,-6,public
05592575,America/Chicago,-6,public
05593575,America/Chicago,-6,public
05593900,America/Chicago,-6,holdout
05595730,America/Chicago,-6,public
07291000,America/Chicago,-6,public
07359610,America/Chicago,-6,public
07362100,America/Chicago,-6,holdout
07362587,America/Chicago,-6,public
07375000,America/Chicago,-6,public
08013000,America/Chicago,-6,public
08014500,America/Chicago,-6,public
05057200,America/Chicago,-6,public
05120500,America/Chicago,-6,public
06221400,America/Denver,-7,public
06224000,America/Denver,-7,public
06278300,America/Denver,-7,public
06280300,America/Denver,-7,holdout
06289000,America/Denver,-7,public
06291500,America/Denver,-7,public
06311000,America/Denver,-7,public
06332515,America/Chicago,-6,public
06339100,America/Denver,-7,holdout
06344600,America/Denver,-7,public
06350000,America/Denver,-7,public
06352000,America/Denver,-7,public
06404000,America/Denver,-7,public
06406000,America/Denver,-7,holdout
06409000,America/Denver,-7,public
06431500,America/Denver,-7,public
06440200,America/Denver,-7,public
06447500,America/Denver,-7,public
06470800,America/Chicago,-6,holdout
06477500,America/Chicago,-6,public
06479215,America/Chicago,-6,public
06601000,America/Chicago,-6,public
06614800,America/Denver,-7,public
06622700,America/Denver,-7,holdout
06623800,America/Denver,-7,public
06632400,America/Denver,-7,public
06746095,America/Denver,-7,public
06803510,America/Chicago,-6,public
06803530,America/Chicago,-6,holdout
06814000,America/Chicago,-6,public
06847900,America/Chicago,-6,public
06853800,America/Chicago,-6,public
06876700,America/Chicago,-6,public
06878000,America/Chicago,-6,holdout
06879650,America/Chicago,-6,public
06885500,America/Chicago,-6,public
06888500,America/Chicago,-6,public
06889200,America/Chicago,-6,public
06889500,America/Chicago,-6,holdout
06892000,America/Chicago,-6,public
06903400,America/Chicago,-6,public
06906800,America/Chicago,-6,public
06910800,America/Chicago,-6,public
06911900,America/Chicago,-6,holdout
06917000,America/Chicago,-6,public
06918460,America/Chicago,-6,public
06919500,America/Chicago,-6,public
06921070,America/Chicago,-6,public
06921200,America/Chicago,-6,holdout
07057500,America/Chicago,-6,public
07060710,America/Chicago,-6,public
07066000,America/Chicago,-6,public
07083000,America/Denver,-7,public
07142300,America/Chicago,-6,holdout
07145700,America/Chicago,-6,public
07167500,America/Chicago,-6,public
07180500,America/Chicago,-6,public
07184000,America/Chicago,-6,public
07195800,America/Chicago,-6,holdout
07196900,America/Chicago,-6,public
07197000,America/Chicago,-6,public
07208500,America/Denver,-7,public
07261000,America/Chicago,-6,public
07263295,America/Chicago,-6,holdout
07299670,America/Chicago,-6,public
07301410,America/Chicago,-6,public
07315200,America/Chicago,-6,public
07315700,America/Chicago,-6,holdout
07335700,America/Chicago,-6,public
07340300,America/Chicago,-6,public
07346045,America/Chicago,-6,public
08023080,America/Chicago,-6,holdout
08050800,America/Chicago,-6,public
08066200,America/Chicago,-6,public
08066300,America/Chicago,-6,public
08070000,America/Chicago,-6,public
08070200,America/Chicago,-6,holdout
08082700,America/Chicago,-6,public
08086212,America/Chicago,-6,public
08086290,America/Chicago,-6,public
08101000,America/Chicago,-6,public
08103900,America/Chicago,-6,holdout
08104900,America/Chicago,-6,public
08109700,America/Chicago,-6,public
08150800,America/Chicago,-6,public
08158700,America/Chicago,-6,public
08158810,America/Chicago,-6,holdout
08164300,America/Chicago,-6,public
08164600,America/Chicago,-6,public
08165300,America/Chicago,-6,public
08171300,America/Chicago,-6,public
08175000,America/Chicago,-6,holdout
08176900,America/Chicago,-6,public
08178880,America/Chicago,-6,public
08189500,America/Chicago,-6,public
08190000,America/Chicago,-6,public
08190500,America/Chicago,-6,holdout
08194200,America/Chicago,-6,public
08195000,America/Chicago,-6,public
08196000,America/Chicago,-6,public
08198500,America/Chicago,-6,public
08200000,America/Chicago,-6,holdout
08202700,America/Chicago,-6,public
08267500,America/Denver,-7,public
08269000,America/Denver,-7,public
08271000,America/Denver,-7,public
08324000,America/Denver,-7,holdout
08377900,America/Denver,-7,public
08378500,America/Denver,-7,public
08380500,America/Denver,-7,public
09035800,America/Denver,-7,public
09035900,America/Denver,-7,holdout
09047700,America/Denver,-7,public
09065500,America/Denver,-7,public
09066000,America/Denver,-7,public
09066200,America/Denver,-7,public
09066300,America/Denver,-7,holdout
09081600,America/Denver,-7,public
09107000,America/Denver,-7,public
09210500,America/Denver,-7,public
09223000,America/Denver,-7,public
09306242,America/Denver,-7,holdout
09312600,America/Denver,-7,public
09352900,America/Denver,-7,public
09378170,America/Denver,-7,public
09386900,America/Denver,-7,public
09404450,America/Denver,-7,holdout
09430600,America/Denver,-7,public
09447800,America/Phoenix,-7,public
09484600,America/Phoenix,-7,public
09492400,America/Phoenix,-7,public
09494000,America/Phoenix,-7,holdout
09497980,America/Phoenix,-7,public
09505350,America/Phoenix,-7,public
09505800,America/Phoenix,-7,public
09508300,America/Phoenix,-7,public
09510200,America/Phoenix,-7,holdout
09512280,America/Phoenix,-7,public
09513780,America/Phoenix,-7,public
10234500,America/Denver,-7,public
10244950,America/Los_Angeles,-8,public
10336645,America/Los_Angeles,-8,public
10336660,America/Los_Angeles,-8,public
10343500,America/Los_Angeles,-8,public
12010000,America/Los_Angeles,-8,public
12013500,America/Los_Angeles,-8,holdout
12020000,America/Los_Angeles,-8,public
12025700,America/Los_Angeles,-8,public
12035000,America/Los_Angeles,-8,public
12040500,America/Los_Angeles,-8,public
12041200,America/Los_Angeles,-8,holdout
12048000,America/Los_Angeles,-8,public
12054000,America/Los_Angeles,-8,public
