### channel=id33-transformer-recipe-repair seq=60
### host=login4
### started=2026-09-15T16:47:34+0800
### ---------- output ----------
=== STAMP ===
2026-09-15T16:47:34+0800
n=531
TRAIN NSE p10/25/50/75/90: [0.794 0.853 0.898 0.929 0.958]  share>=0.8: 89.1%  share>=0.9: 47.8%
VAL   NSE p10/25/50/75/90: [0.309 0.566 0.706 0.795 0.862]  share>=0.8: 24.1%
TRAIN-VAL gap p10/25/50/75/90: [0.033 0.093 0.178 0.288 0.514]  corr(train,val)= 0.221
basins with val<0.5: 101  their TRAIN NSE median=0.871  their train-val gap median=0.526
###PERBASIN basin,train_nse,val_nse
01022500,0.9401,0.7945
01031500,0.9267,0.8893
01047000,0.9226,0.8612
01052500,0.9290,0.8786
01054200,0.8210,0.6016
01055000,0.8826,0.7442
01057000,0.9257,0.7086
01073000,0.9378,0.8073
01078000,0.9397,0.8056
01123000,0.8960,0.8418
01134500,0.8835,0.8007
01137500,0.8928,0.6903
01139000,0.9227,0.7496
01139800,0.9101,0.6323
01142500,0.9277,0.6459
01144000,0.9433,0.7068
01162500,0.9224,0.5384
01169000,0.8960,0.4644
01170100,0.8839,0.4853
01181000,0.9094,0.4601
01187300,0.8716,0.7067
01195100,0.8461,0.7293
01333000,0.8705,0.4638
01350000,0.9121,0.4369
01350080,0.8805,0.4344
01350140,0.8153,0.5713
01365000,0.8536,0.7269
01411300,0.8589,0.7819
01413500,0.9387,0.3815
01414500,0.8907,0.4223
01415000,0.8848,0.6114
01423000,0.9308,0.6715
01434025,0.8847,0.5157
01435000,0.9019,0.6624
01439500,0.9130,0.7148
01440000,0.8781,0.7480
01440400,0.8814,0.6669
01451800,0.9115,0.7371
01466500,0.8412,0.8484
01484100,0.7605,0.7439
01487000,0.8677,0.9016
01491000,0.8029,0.8039
01510000,0.8957,0.6250
01516500,0.8655,0.5797
01518862,0.8795,0.7019
01532000,0.8810,0.7028
01539000,0.9196,0.8007
01542810,0.8504,0.8200
01543000,0.9408,0.8991
01543500,0.9476,0.9078
01544500,0.9305,0.8227
01545600,0.8998,0.8188
01547700,0.8780,0.6061
01548500,0.9517,0.8621
01549500,0.9179,0.6718
01550000,0.9088,0.7482
01552000,0.9093,0.7305
01552500,0.8487,0.5699
01557500,0.8778,0.8006
01567500,0.8760,0.7942
01568000,0.8933,0.8418
01580000,0.8683,0.6136
01583500,0.8937,0.4824
01586610,0.8734,0.6018
01591400,0.7583,0.1621
01594950,0.8274,0.7412
01596500,0.8986,0.7978
01605500,0.8982,0.7020
01606500,0.9099,0.7236
01632000,0.7067,0.5015
01632900,0.8734,0.6725
01634500,0.8435,0.6952
01638480,0.7738,0.6618
01639500,0.8904,0.6631
01644000,0.9329,0.8398
01664000,0.8799,0.8297
01666500,0.8124,0.8031
01667500,0.8752,0.8527
01669000,0.8312,0.8404
01669520,0.8083,0.7364
02011400,0.9143,0.8799
02013000,0.8815,0.8294
02014000,0.8967,0.8563
02015700,0.8803,0.7574
02016000,0.9085,0.7877
02017500,0.9211,0.7108
02018000,0.9044,0.7688
02027000,0.8758,0.7566
02027500,0.8765,0.5537
02028500,0.8535,0.6637
02038850,0.8167,0.6301
02046000,0.9260,0.7740
02051500,0.8581,0.7321
02053200,0.9169,0.8064
02053800,0.9034,0.8257
02055100,0.9212,0.6221
02056900,0.8618,0.7696
02059500,0.7620,0.6567
02064000,0.8914,0.8588
02065500,0.8378,0.2016
02069700,0.8384,0.6073
02070000,0.7904,0.6111
02074500,0.7231,0.6603
02077200,0.8698,0.7202
02081500,0.8516,0.7845
02082950,0.8719,0.8469
02092500,0.9163,0.8918
02096846,0.7985,0.4917
02102908,0.7341,0.7416
02108000,0.8836,0.7826
02111180,0.8946,0.5878
02111500,0.8896,0.5868
02112120,0.8580,0.5871
02112360,0.8063,0.6904
02118500,0.8561,0.5055
02125000,0.8796,0.9505
02128000,0.8543,0.8288
02137727,0.9180,0.7144
02140991,0.9153,0.0365
02143000,0.9381,0.6997
02143040,0.8356,0.6072
02149000,0.8496,0.6438
02152100,0.7955,0.6588
02177000,0.9184,0.8135
02178400,0.9032,0.7092
02193340,0.7827,0.8501
02196000,0.8959,0.8847
02198100,0.7972,0.5988
02202600,0.9295,0.8346
02212600,0.8362,0.7650
02215100,0.9522,0.7181
02216180,0.8950,0.7178
02221525,0.8109,0.6682
02231000,0.9583,0.9444
02245500,0.8004,0.6168
02246000,0.8201,0.8073
02296500,0.9330,0.4793
02297155,0.8542,-3.0896
02297310,0.9278,-0.6724
02298123,0.9073,0.7407
02298608,0.8855,0.2215
02299950,0.8603,0.4998
02300700,0.7014,-0.0137
02342933,0.8108,0.5681
02349900,0.9084,0.5863
02350900,0.9135,0.8756
02361000,0.9124,0.7997
02363000,0.9339,0.6859
02369800,0.7750,0.7650
02371500,0.8976,0.5860
02372250,0.8933,-0.0208
02374500,0.9032,0.5375
02381600,0.8127,0.2032
02384540,0.8742,0.4300
02395120,0.8596,0.5289
02415000,0.9258,0.7563
02427250,0.9378,0.3498
02430085,0.8165,0.7433
02450250,0.8914,0.5665
02464000,0.8820,0.6639
02464360,0.7787,0.6456
02465493,0.8546,0.2612
02469800,0.9132,0.7573
02472000,0.8931,0.8356
02472500,0.9116,0.6893
02479155,0.8384,0.7326
02479300,0.8850,0.7626
02479560,0.9088,0.7081
02481000,0.8708,0.6757
02481510,0.9130,0.8185
03010655,0.9035,0.7845
03011800,0.8565,0.7806
03015500,0.8979,0.7838
03021350,0.7808,0.7393
03026500,0.8330,0.8466
03028000,0.8872,0.8788
03049000,0.9188,0.8165
03049800,0.8684,0.6415
03050000,0.8751,0.8383
03069500,0.9189,0.8843
03070500,0.8084,0.8122
03076600,0.8676,0.7226
03078000,0.8806,0.7757
03140000,0.8609,0.7940
03144000,0.8986,0.8410
03170000,0.9078,0.7803
03173000,0.9290,0.8546
03180500,0.8853,0.8233
03182500,0.9301,0.8265
03186500,0.8281,0.8600
03237280,0.8322,0.4673
03237500,0.8150,0.6974
03238500,0.8115,0.6344
03241500,0.8162,0.8481
03280700,0.8817,0.7559
03281500,0.9128,0.7882
03285000,0.8178,0.6750
03291780,0.8037,0.6334
03338780,0.8586,0.6474
03340800,0.8976,0.8654
03346000,0.8613,0.7612
03364500,0.8621,0.6949
03366500,0.8768,0.5869
03368000,0.8064,0.7706
03384450,0.8972,0.7060
03439000,0.9075,0.6713
03455500,0.8914,0.3957
03456500,0.9167,0.5562
03460000,0.9172,0.7061
03463300,0.8493,0.7350
03471500,0.9026,0.8069
03473000,0.9102,0.7586
03479000,0.9503,0.5260
03488000,0.8930,0.8487
03498500,0.9210,0.8528
03500000,0.9453,0.8424
03500240,0.9236,0.6368
03504000,0.9051,0.6742
03574500,0.9389,0.5466
03592718,0.7731,0.5321
03604000,0.8740,0.7751
04015330,0.8360,0.7205
04024430,0.9108,0.4839
04027000,0.9594,0.7734
04040500,0.9269,0.9108
04043050,0.9495,0.9012
04045500,0.9616,0.8260
04057510,0.9416,0.7747
04057800,0.9165,0.5134
04059500,0.9203,0.8498
04063700,0.9336,0.7133
04074950,0.9016,0.8715
04105700,0.8531,0.5674
04115265,0.8215,0.7327
04122200,0.9030,0.7393
04122500,0.9011,0.6560
04127918,0.9020,0.7255
04127997,0.8287,0.8062
04161580,0.8710,0.6968
04185000,0.9077,0.7767
04196800,0.8587,0.4634
04197100,0.8239,0.3098
04197170,0.7878,0.7732
04213000,0.7825,0.6888
04213075,0.5379,0.4366
04216418,0.8129,0.7398
04221000,0.9234,0.8315
04224775,0.8815,0.7827
04233000,0.8789,0.7459
04256000,0.8895,0.7760
04296000,0.8978,0.6856
05057200,0.9151,0.3086
05120500,0.7240,-28.4737
05291000,0.9267,0.3683
05362000,0.9519,0.7878
05393500,0.9263,0.8606
05399500,0.9122,0.7592
05408000,0.8617,0.7932
05413500,0.8971,0.8453
05414000,0.8797,0.6188
05444000,0.9067,0.4177
05454000,0.7923,0.5808
05458000,0.8792,0.6152
05466500,0.8923,0.5385
05487980,0.8263,0.7614
05488200,0.8439,0.6777
05489000,0.8824,0.6770
05495000,0.8690,0.6980
05495500,0.9219,0.6948
05501000,0.9168,0.6470
05503800,0.8969,0.7231
05507600,0.8747,0.8839
05508805,0.7831,0.8727
05525500,0.8770,0.8508
05556500,0.8388,0.7020
05584500,0.9304,0.4043
05591550,0.8363,0.7069
05592050,0.9098,0.5550
05592575,0.7864,0.7050
05593575,0.8416,0.7606
05593900,0.8933,0.7833
05595730,0.8355,0.7575
06221400,0.9489,0.9119
06224000,0.9587,0.8992
06278300,0.9669,0.6342
06280300,0.9644,0.8019
06289000,0.9589,0.5587
06291500,0.9507,0.6673
06311000,0.9102,0.5767
06332515,0.8320,0.6479
06339100,0.8421,0.6429
06344600,0.9081,0.0363
06350000,0.7199,-0.2037
06352000,0.7350,0.0896
06404000,0.8046,0.6008
06406000,0.3282,0.0536
06409000,0.4846,-27.8501
06431500,0.6801,0.4694
06440200,0.8135,0.5400
06447500,0.6238,0.2418
06470800,0.8384,0.8657
06477500,0.9103,-0.3268
06479215,0.9471,-0.5421
06601000,0.8037,0.5955
06614800,0.9653,0.8266
06622700,0.9740,0.7796
06623800,0.9822,0.8713
06632400,0.9654,0.7696
06746095,0.9623,0.7110
06803510,0.8056,0.4988
06803530,0.5851,0.4849
06814000,0.8502,0.7355
06847900,-0.0784,0.0704
06853800,0.8743,0.2111
06876700,0.8796,0.4277
06878000,0.7725,0.6865
06879650,0.9044,0.3136
06885500,0.9125,0.7950
06888500,0.7245,0.7673
06889200,0.6719,0.6791
06889500,0.8332,0.8267
06892000,0.9227,0.7775
06903400,0.8446,0.5739
06906800,0.8605,0.7501
06910800,0.8998,0.8915
06911900,0.8606,0.8919
06917000,0.8597,0.6727
06918460,0.8773,-0.1589
06919500,0.8842,0.8187
06921070,0.8411,0.5906
06921200,0.8764,0.6763
07057500,0.9409,0.8850
07060710,0.9034,0.6205
07066000,0.9010,0.7949
07083000,0.9639,0.8368
07142300,0.3579,0.2875
07145700,0.8362,0.6652
07167500,0.8627,0.6904
07180500,0.7901,0.7771
07184000,0.8536,0.6485
07195800,0.9202,0.1202
07196900,0.9211,0.7153
07197000,0.9336,0.8697
07208500,0.9290,0.6121
07261000,0.9346,0.7660
07263295,0.8133,0.7254
07291000,0.8155,0.7925
07299670,0.4702,0.2234
07301410,0.8061,0.0317
07315200,0.6965,0.4495
07315700,0.8598,0.6085
07335700,0.8710,0.6098
07340300,0.8927,0.7579
07346045,0.9417,0.6993
07359610,0.8854,0.6807
07362100,0.8872,0.5198
07362587,0.7944,0.5180
07375000,0.9292,0.6553
08013000,0.9183,0.8416
08014500,0.9508,0.1866
08023080,0.8521,0.4944
08050800,0.8459,0.3565
08066200,0.8477,0.8200
08066300,0.8498,0.7093
08070000,0.8863,0.5567
08070200,0.8982,0.5625
08082700,0.9626,0.2272
08086212,0.7941,0.6463
08086290,0.6201,0.6527
08101000,0.7371,0.6028
08103900,0.7784,0.4743
08104900,0.8424,0.5856
08109700,0.9186,0.4895
08150800,0.8353,-1.8557
08158700,0.8795,0.4305
08158810,0.8712,0.4620
08164300,0.8709,0.6197
08164600,0.8507,0.5773
08165300,0.6174,-26.4225
08171300,0.9210,0.5426
08175000,0.9421,0.5104
08176900,0.8073,0.1005
08178880,0.5786,-0.3540
08189500,0.9133,0.7004
08190000,0.9360,-0.9345
08190500,0.8903,-0.2100
08194200,0.4961,-0.9209
08195000,0.3554,-0.1981
08196000,0.1694,0.2531
08198500,0.4176,0.0251
08200000,0.4852,0.3248
08202700,0.8803,0.0850
08267500,0.9731,-0.0413
08269000,0.9828,-0.0061
08271000,0.9734,0.2153
08324000,0.9045,0.6802
08377900,0.9669,0.7892
08378500,0.9741,0.4886
08380500,0.9060,0.3546
09035800,0.9763,0.8615
09035900,0.9750,0.9552
09047700,0.9581,0.8337
09065500,0.9694,0.9542
09066000,0.9799,0.9542
09066200,0.9382,0.8911
09066300,0.9764,0.9372
09081600,0.9796,0.9579
09107000,0.9637,0.9378
09210500,0.9288,0.7261
09223000,0.9564,0.8012
09306242,0.0656,0.2113
09312600,0.9780,0.7737
09352900,0.9255,0.6579
09378170,0.9803,0.5102
09386900,0.1701,0.0715
09404450,0.9312,0.6286
09430600,0.8635,0.0547
09447800,0.7248,-0.9198
09484600,0.4364,0.2281
