### channel=zhenjiang-six-source-four-target-ukf seq=68
### host=login4
### started=2026-09-03T15:36:19+0800
### ---------- output ----------
=== SNAPSHOT_TIME ===
2026-09-03T15:36:19+0800
=== STATE_DIFFERENCE_DIAGNOSTICS_CSV ===
source_index,source_station,issue_horizon_hour,post_update_lead_hour,cell_count,state_mean_absolute_difference,state_l2_difference
0,datong,2,1,24849,0.0003514811211221765,0.003245961942513075
0,datong,3,2,24849,0.00032260616375818916,0.0027670279473240547
0,datong,4,3,24849,0.0003088781778773044,0.0025102828469376237
0,datong,5,4,24849,0.0003010401501445622,0.0023643099880150324
0,datong,6,5,24849,0.000296673797748925,0.0022767093422739007
0,datong,7,6,24849,0.00029562345389332273,0.0022302670177488247
0,datong,8,7,24849,0.00029726330882708714,0.002211275982145519
0,datong,9,8,24849,0.00029925530066841856,0.002204323732778532
0,datong,10,9,24849,0.0003010927158971778,0.0022013386316881312
0,datong,11,10,24849,0.0003031868345371177,0.002198853253255118
0,datong,12,11,24849,0.0003053704561436351,0.0021961068467561333
0,datong,13,12,24849,0.0003070137651666193,0.0021931726055586286
0,datong,14,13,24849,0.00030770502321979736,0.0021881464471930545
0,datong,15,14,24849,0.0003072808437054817,0.0021780602507748366
0,datong,16,15,24849,0.0003064635809925373,0.002167013650079416
0,datong,17,16,24849,0.0003056472586392176,0.002157264081501891
0,datong,18,17,24849,0.0003045010641256693,0.0021477497674252883
0,datong,19,18,24849,0.00030335098706145457,0.0021390523936483004
0,datong,20,19,24849,0.00030222224374758336,0.0021307293593793527
0,datong,21,20,24849,0.00030081671716143335,0.0021220588247479856
0,datong,22,21,24849,0.0002996117636969792,0.0021137403312568963
0,datong,23,22,24849,0.00029916346771083845,0.0021076994214253983
0,datong,24,23,24849,0.00029907689274286846,0.0021026848293754265
1,nanjing,2,1,24849,0.0003278242185917562,0.0028319160897296324
1,nanjing,3,2,24849,0.0003067289802440787,0.002394463735328427
1,nanjing,4,3,24849,0.0002908409810163793,0.0021562740311330923
1,nanjing,5,4,24849,0.0002809645570576779,0.0020131626457018372
1,nanjing,6,5,24849,0.0002742230225559913,0.0019181760572928766
1,nanjing,7,6,24849,0.0002683386911878847,0.0018516374317778203
1,nanjing,8,7,24849,0.00026237802334784375,0.0017925745314120109
1,nanjing,9,8,24849,0.0002564054901959313,0.0017439247240484345
1,nanjing,10,9,24849,0.00025172747015415084,0.0017094405441766833
1,nanjing,11,10,24849,0.00024834885202344855,0.001685032955301948
1,nanjing,12,11,24849,0.0002446074667069973,0.001660847516947169
1,nanjing,13,12,24849,0.00024034245214090279,0.001633135122943526
1,nanjing,14,13,24849,0.0002364795107595892,0.001604911732457142
1,nanjing,15,14,24849,0.00023299960624957955,0.001580906400060557
1,nanjing,16,15,24849,0.00023057453011053847,0.0015634320529729132
1,nanjing,17,16,24849,0.00022874226141363148,0.0015492964535761288
1,nanjing,18,17,24849,0.0002271352941098044,0.00153719801282609
1,nanjing,19,18,24849,0.00022595891893694318,0.0015275893508826422
1,nanjing,20,19,24849,0.0002245427012697095,0.0015184778131599429
1,nanjing,21,20,24849,0.00022319259055193565,0.001510287560298878
1,nanjing,22,21,24849,0.0002218396407831518,0.001503197868499836
1,nanjing,23,22,24849,0.00022037275603964298,0.0014948580179002411
1,nanjing,24,23,24849,0.00021843358551797043,0.0014845497994453152
2,zhenjiang,2,1,24849,0.0005501881803956497,0.004606229581271912
2,zhenjiang,3,2,24849,0.0004816589399754527,0.003665879513694527
2,zhenjiang,4,3,24849,0.00043437726781265747,0.003157181701025152
2,zhenjiang,5,4,24849,0.00039239320793097484,0.002791259864237565
2,zhenjiang,6,5,24849,0.0003629016125624204,0.002557555334626011
2,zhenjiang,7,6,24849,0.0003432577810905079,0.0024095068492210312
2,zhenjiang,8,7,24849,0.00033061788998294385,0.002296919974706634
2,zhenjiang,9,8,24849,0.0003228601777143994,0.002223649007008228
2,zhenjiang,10,9,24849,0.00031699896106849424,0.0021639553074446934
2,zhenjiang,11,10,24849,0.00031185292519070085,0.0021133776075103706
2,zhenjiang,12,11,24849,0.00030611799952257046,0.00207468808929455
2,zhenjiang,13,12,24849,0.0003012819698078467,0.0020461077653420655
2,zhenjiang,14,13,24849,0.00029764581954610527,0.0020244605767504678
2,zhenjiang,15,14,24849,0.0002931355363977494,0.001992228415977818
2,zhenjiang,16,15,24849,0.00028834642798444653,0.001957838668502335
2,zhenjiang,17,16,24849,0.00028420453042927264,0.0019276921332270066
2,zhenjiang,18,17,24849,0.00028086631555210653,0.0019028524052120326
2,zhenjiang,19,18,24849,0.00027814513486659726,0.001886129132244804
2,zhenjiang,20,19,24849,0.0002758594424616901,0.0018722819403573822
2,zhenjiang,21,20,24849,0.0002741836036435074,0.0018599328629006395
2,zhenjiang,22,21,24849,0.0002726406762035667,0.0018494846727183376
2,zhenjiang,23,22,24849,0.00027141500729856497,0.0018421293779184364
