run_id,index,role,initial_learning_rate,hidden_size,num_layers,in_out_mult,seed,status
WRR-HPEXT-20260902-I00,0,anchor,0.01,16,2,5,42,planned
WRR-HPEXT-20260902-I01,1,lr_extension,0.02,16,2,5,42,planned
WRR-HPEXT-20260902-I02,2,lr_extension,0.05,16,2,5,42,planned
WRR-HPEXT-20260902-I03,3,anchor,0.01,32,1,10,42,planned
WRR-HPEXT-20260902-I04,4,lr_extension,0.02,32,1,10,42,planned
WRR-HPEXT-20260902-I05,5,lr_extension,0.05,32,1,10,42,planned
WRR-HPEXT-20260902-I06,6,anchor,0.01,16,1,5,42,planned
WRR-HPEXT-20260902-I07,7,lr_extension,0.02,16,1,5,42,planned
WRR-HPEXT-20260902-I08,8,lr_extension,0.05,16,1,5,42,planned
WRR-HPEXT-20260902-I09,9,anchor,0.01,16,1,10,42,planned
WRR-HPEXT-20260902-I10,10,lr_extension,0.02,16,1,10,42,planned
WRR-HPEXT-20260902-I11,11,lr_extension,0.05,16,1,10,42,planned
WRR-HPEXT-20260902-I12,12,probe_hidden64,0.01,64,1,10,42,planned
WRR-HPEXT-20260902-I13,13,probe_mult15,0.01,32,1,15,42,planned
WRR-HPEXT-20260902-I14,14,probe_hidden64_mult15,0.01,64,1,15,42,planned
WRR-HPEXT-20260902-I15,15,replicate_seed43,0.01,32,1,10,43,planned
WRR-HPEXT-20260902-I16,16,replicate_seed44,0.01,32,1,10,44,planned
WRR-HPEXT-20260902-I17,17,divergence_check_seed43,0.05,32,1,10,43,planned
