event_id,block_index,trial_index,switch_day_index,old_parameter_id,new_parameter_id,old_process_id,new_process_id,parameter_transition_label,noise_transition_label,parameter_numeric_success,parameter_response_start_day,noise_numeric_success,noise_response_start_day
block_01_trial_1_switch_day_181,0,0,180,candidate_2_shared_limits,candidate_3_shared_limits,lower_groundwater_high,lower_groundwater_low,candidate_2_shared_limits_to_candidate_3_shared_limits,lower_groundwater_high_to_lower_groundwater_low,True,0,True,3
block_01_trial_1_switch_day_361,0,0,360,candidate_3_shared_limits,candidate_1_shared_limits,lower_groundwater_low,lower_groundwater_medium,candidate_3_shared_limits_to_candidate_1_shared_limits,lower_groundwater_low_to_lower_groundwater_medium,True,0,False,
block_01_trial_2_switch_day_181,0,1,180,candidate_3_shared_limits,candidate_1_shared_limits,lower_groundwater_low,lower_groundwater_medium,candidate_3_shared_limits_to_candidate_1_shared_limits,lower_groundwater_low_to_lower_groundwater_medium,True,0,False,
block_01_trial_2_switch_day_361,0,1,360,candidate_1_shared_limits,candidate_2_shared_limits,lower_groundwater_medium,lower_groundwater_high,candidate_1_shared_limits_to_candidate_2_shared_limits,lower_groundwater_medium_to_lower_groundwater_high,True,0,False,
block_01_trial_3_switch_day_181,0,2,180,candidate_1_shared_limits,candidate_2_shared_limits,lower_groundwater_medium,lower_groundwater_high,candidate_1_shared_limits_to_candidate_2_shared_limits,lower_groundwater_medium_to_lower_groundwater_high,True,0,True,25
block_01_trial_3_switch_day_361,0,2,360,candidate_2_shared_limits,candidate_3_shared_limits,lower_groundwater_high,lower_groundwater_low,candidate_2_shared_limits_to_candidate_3_shared_limits,lower_groundwater_high_to_lower_groundwater_low,True,0,True,2
block_02_trial_1_switch_day_181,1,0,180,candidate_2_shared_limits,candidate_3_shared_limits,lower_groundwater_high,lower_groundwater_low,candidate_2_shared_limits_to_candidate_3_shared_limits,lower_groundwater_high_to_lower_groundwater_low,True,0,True,6
block_02_trial_1_switch_day_361,1,0,360,candidate_3_shared_limits,candidate_1_shared_limits,lower_groundwater_low,lower_groundwater_medium,candidate_3_shared_limits_to_candidate_1_shared_limits,lower_groundwater_low_to_lower_groundwater_medium,True,1,True,23
block_02_trial_2_switch_day_181,1,1,180,candidate_3_shared_limits,candidate_1_shared_limits,lower_groundwater_low,lower_groundwater_medium,candidate_3_shared_limits_to_candidate_1_shared_limits,lower_groundwater_low_to_lower_groundwater_medium,True,0,False,
block_02_trial_2_switch_day_361,1,1,360,candidate_1_shared_limits,candidate_2_shared_limits,lower_groundwater_medium,lower_groundwater_high,candidate_1_shared_limits_to_candidate_2_shared_limits,lower_groundwater_medium_to_lower_groundwater_high,True,0,True,0
block_02_trial_3_switch_day_181,1,2,180,candidate_1_shared_limits,candidate_2_shared_limits,lower_groundwater_medium,lower_groundwater_high,candidate_1_shared_limits_to_candidate_2_shared_limits,lower_groundwater_medium_to_lower_groundwater_high,True,0,True,3
block_02_trial_3_switch_day_361,1,2,360,candidate_2_shared_limits,candidate_3_shared_limits,lower_groundwater_high,lower_groundwater_low,candidate_2_shared_limits_to_candidate_3_shared_limits,lower_groundwater_high_to_lower_groundwater_low,True,0,True,6
block_03_trial_1_switch_day_181,2,0,180,candidate_2_shared_limits,candidate_3_shared_limits,lower_groundwater_high,lower_groundwater_low,candidate_2_shared_limits_to_candidate_3_shared_limits,lower_groundwater_high_to_lower_groundwater_low,True,0,True,3
block_03_trial_1_switch_day_361,2,0,360,candidate_3_shared_limits,candidate_1_shared_limits,lower_groundwater_low,lower_groundwater_medium,candidate_3_shared_limits_to_candidate_1_shared_limits,lower_groundwater_low_to_lower_groundwater_medium,True,0,False,
block_03_trial_2_switch_day_181,2,1,180,candidate_3_shared_limits,candidate_1_shared_limits,lower_groundwater_low,lower_groundwater_medium,candidate_3_shared_limits_to_candidate_1_shared_limits,lower_groundwater_low_to_lower_groundwater_medium,True,0,False,
block_03_trial_2_switch_day_361,2,1,360,candidate_1_shared_limits,candidate_2_shared_limits,lower_groundwater_medium,lower_groundwater_high,candidate_1_shared_limits_to_candidate_2_shared_limits,lower_groundwater_medium_to_lower_groundwater_high,True,0,True,1
block_03_trial_3_switch_day_181,2,2,180,candidate_1_shared_limits,candidate_2_shared_limits,lower_groundwater_medium,lower_groundwater_high,candidate_1_shared_limits_to_candidate_2_shared_limits,lower_groundwater_medium_to_lower_groundwater_high,True,0,True,3
block_03_trial_3_switch_day_361,2,2,360,candidate_2_shared_limits,candidate_3_shared_limits,lower_groundwater_high,lower_groundwater_low,candidate_2_shared_limits_to_candidate_3_shared_limits,lower_groundwater_high_to_lower_groundwater_low,True,0,True,8
block_04_trial_1_switch_day_181,3,0,180,candidate_2_shared_limits,candidate_3_shared_limits,lower_groundwater_high,lower_groundwater_low,candidate_2_shared_limits_to_candidate_3_shared_limits,lower_groundwater_high_to_lower_groundwater_low,True,0,True,12
block_04_trial_1_switch_day_361,3,0,360,candidate_3_shared_limits,candidate_1_shared_limits,lower_groundwater_low,lower_groundwater_medium,candidate_3_shared_limits_to_candidate_1_shared_limits,lower_groundwater_low_to_lower_groundwater_medium,True,0,False,
block_04_trial_2_switch_day_181,3,1,180,candidate_3_shared_limits,candidate_1_shared_limits,lower_groundwater_low,lower_groundwater_medium,candidate_3_shared_limits_to_candidate_1_shared_limits,lower_groundwater_low_to_lower_groundwater_medium,True,0,False,
block_04_trial_2_switch_day_361,3,1,360,candidate_1_shared_limits,candidate_2_shared_limits,lower_groundwater_medium,lower_groundwater_high,candidate_1_shared_limits_to_candidate_2_shared_limits,lower_groundwater_medium_to_lower_groundwater_high,True,0,True,6
block_04_trial_3_switch_day_181,3,2,180,candidate_1_shared_limits,candidate_2_shared_limits,lower_groundwater_medium,lower_groundwater_high,candidate_1_shared_limits_to_candidate_2_shared_limits,lower_groundwater_medium_to_lower_groundwater_high,True,0,True,24
block_04_trial_3_switch_day_361,3,2,360,candidate_2_shared_limits,candidate_3_shared_limits,lower_groundwater_high,lower_groundwater_low,candidate_2_shared_limits_to_candidate_3_shared_limits,lower_groundwater_high_to_lower_groundwater_low,True,0,True,1
block_05_trial_1_switch_day_181,4,0,180,candidate_2_shared_limits,candidate_3_shared_limits,lower_groundwater_high,lower_groundwater_low,candidate_2_shared_limits_to_candidate_3_shared_limits,lower_groundwater_high_to_lower_groundwater_low,True,0,True,4
block_05_trial_1_switch_day_361,4,0,360,candidate_3_shared_limits,candidate_1_shared_limits,lower_groundwater_low,lower_groundwater_medium,candidate_3_shared_limits_to_candidate_1_shared_limits,lower_groundwater_low_to_lower_groundwater_medium,True,0,False,
block_05_trial_2_switch_day_181,4,1,180,candidate_3_shared_limits,candidate_1_shared_limits,lower_groundwater_low,lower_groundwater_medium,candidate_3_shared_limits_to_candidate_1_shared_limits,lower_groundwater_low_to_lower_groundwater_medium,True,0,False,
block_05_trial_2_switch_day_361,4,1,360,candidate_1_shared_limits,candidate_2_shared_limits,lower_groundwater_medium,lower_groundwater_high,candidate_1_shared_limits_to_candidate_2_shared_limits,lower_groundwater_medium_to_lower_groundwater_high,True,0,True,4
block_05_trial_3_switch_day_181,4,2,180,candidate_1_shared_limits,candidate_2_shared_limits,lower_groundwater_medium,lower_groundwater_high,candidate_1_shared_limits_to_candidate_2_shared_limits,lower_groundwater_medium_to_lower_groundwater_high,True,0,True,5
block_05_trial_3_switch_day_361,4,2,360,candidate_2_shared_limits,candidate_3_shared_limits,lower_groundwater_high,lower_groundwater_low,candidate_2_shared_limits_to_candidate_3_shared_limits,lower_groundwater_high_to_lower_groundwater_low,True,0,True,12
block_06_trial_1_switch_day_181,5,0,180,candidate_2_shared_limits,candidate_3_shared_limits,lower_groundwater_high,lower_groundwater_low,candidate_2_shared_limits_to_candidate_3_shared_limits,lower_groundwater_high_to_lower_groundwater_low,True,0,True,6
block_06_trial_1_switch_day_361,5,0,360,candidate_3_shared_limits,candidate_1_shared_limits,lower_groundwater_low,lower_groundwater_medium,candidate_3_shared_limits_to_candidate_1_shared_limits,lower_groundwater_low_to_lower_groundwater_medium,True,0,True,15
block_06_trial_2_switch_day_181,5,1,180,candidate_3_shared_limits,candidate_1_shared_limits,lower_groundwater_low,lower_groundwater_medium,candidate_3_shared_limits_to_candidate_1_shared_limits,lower_groundwater_low_to_lower_groundwater_medium,True,1,False,
block_06_trial_2_switch_day_361,5,1,360,candidate_1_shared_limits,candidate_2_shared_limits,lower_groundwater_medium,lower_groundwater_high,candidate_1_shared_limits_to_candidate_2_shared_limits,lower_groundwater_medium_to_lower_groundwater_high,True,0,True,6
block_06_trial_3_switch_day_181,5,2,180,candidate_1_shared_limits,candidate_2_shared_limits,lower_groundwater_medium,lower_groundwater_high,candidate_1_shared_limits_to_candidate_2_shared_limits,lower_groundwater_medium_to_lower_groundwater_high,True,0,True,5
block_06_trial_3_switch_day_361,5,2,360,candidate_2_shared_limits,candidate_3_shared_limits,lower_groundwater_high,lower_groundwater_low,candidate_2_shared_limits_to_candidate_3_shared_limits,lower_groundwater_high_to_lower_groundwater_low,True,0,True,6
block_07_trial_1_switch_day_181,6,0,180,candidate_2_shared_limits,candidate_3_shared_limits,lower_groundwater_high,lower_groundwater_low,candidate_2_shared_limits_to_candidate_3_shared_limits,lower_groundwater_high_to_lower_groundwater_low,True,0,True,8
block_07_trial_1_switch_day_361,6,0,360,candidate_3_shared_limits,candidate_1_shared_limits,lower_groundwater_low,lower_groundwater_medium,candidate_3_shared_limits_to_candidate_1_shared_limits,lower_groundwater_low_to_lower_groundwater_medium,True,0,False,
block_07_trial_2_switch_day_181,6,1,180,candidate_3_shared_limits,candidate_1_shared_limits,lower_groundwater_low,lower_groundwater_medium,candidate_3_shared_limits_to_candidate_1_shared_limits,lower_groundwater_low_to_lower_groundwater_medium,True,0,False,
block_07_trial_2_switch_day_361,6,1,360,candidate_1_shared_limits,candidate_2_shared_limits,lower_groundwater_medium,lower_groundwater_high,candidate_1_shared_limits_to_candidate_2_shared_limits,lower_groundwater_medium_to_lower_groundwater_high,True,0,True,4
block_07_trial_3_switch_day_181,6,2,180,candidate_1_shared_limits,candidate_2_shared_limits,lower_groundwater_medium,lower_groundwater_high,candidate_1_shared_limits_to_candidate_2_shared_limits,lower_groundwater_medium_to_lower_groundwater_high,True,0,True,3
block_07_trial_3_switch_day_361,6,2,360,candidate_2_shared_limits,candidate_3_shared_limits,lower_groundwater_high,lower_groundwater_low,candidate_2_shared_limits_to_candidate_3_shared_limits,lower_groundwater_high_to_lower_groundwater_low,True,0,True,5
block_08_trial_1_switch_day_181,7,0,180,candidate_2_shared_limits,candidate_3_shared_limits,lower_groundwater_high,lower_groundwater_low,candidate_2_shared_limits_to_candidate_3_shared_limits,lower_groundwater_high_to_lower_groundwater_low,True,0,True,4
block_08_trial_1_switch_day_361,7,0,360,candidate_3_shared_limits,candidate_1_shared_limits,lower_groundwater_low,lower_groundwater_medium,candidate_3_shared_limits_to_candidate_1_shared_limits,lower_groundwater_low_to_lower_groundwater_medium,True,0,False,
block_08_trial_2_switch_day_181,7,1,180,candidate_3_shared_limits,candidate_1_shared_limits,lower_groundwater_low,lower_groundwater_medium,candidate_3_shared_limits_to_candidate_1_shared_limits,lower_groundwater_low_to_lower_groundwater_medium,True,1,False,
block_08_trial_2_switch_day_361,7,1,360,candidate_1_shared_limits,candidate_2_shared_limits,lower_groundwater_medium,lower_groundwater_high,candidate_1_shared_limits_to_candidate_2_shared_limits,lower_groundwater_medium_to_lower_groundwater_high,True,0,True,18
block_08_trial_3_switch_day_181,7,2,180,candidate_1_shared_limits,candidate_2_shared_limits,lower_groundwater_medium,lower_groundwater_high,candidate_1_shared_limits_to_candidate_2_shared_limits,lower_groundwater_medium_to_lower_groundwater_high,True,0,True,15
block_08_trial_3_switch_day_361,7,2,360,candidate_2_shared_limits,candidate_3_shared_limits,lower_groundwater_high,lower_groundwater_low,candidate_2_shared_limits_to_candidate_3_shared_limits,lower_groundwater_high_to_lower_groundwater_low,True,0,True,3
