review_id,event_id,panel_sha256,original_parameter_margin_label,original_noise_margin_label,parameter_margin_label,noise_margin_label,amended
review_001,block_07_trial_1_switch_day_181,70298d22592f09df0d7f6eb7acf395eba67860e1b177d93c052d645741b652f7,clear_success,clear_success,clear_success,clear_success,no
review_002,block_07_trial_2_switch_day_361,d710f4b2ace1840f67539435e402cb9e28cee0e2f12758af63c2d5e3d8ed2afa,clear_success,clear_success,clear_success,clear_success,no
review_003,block_01_trial_1_switch_day_361,c35ba233368d761ce8737976eaebf289764f166254a69d1d4708c062a7c9ad5f,ambiguous,ambiguous,clear_success,ambiguous,yes
review_004,block_02_trial_2_switch_day_361,68b6e5460f91c0762d1745a499586adcf4cc96b603133487f55ecf10948c9adc,clear_success,clear_success,clear_success,clear_success,no
review_005,block_02_trial_3_switch_day_181,110dcda1f99113654a1d87e394651c2257d68552c570c4897f0f3ad5d9c35806,clear_success,clear_success,clear_success,clear_success,no
review_006,block_01_trial_2_switch_day_181,af37c56392b9e15650e1ac97cf400deda8df34066164ff3eb3a018bf2327d1dc,ambiguous,ambiguous,clear_success,ambiguous,yes
review_007,block_02_trial_3_switch_day_361,1cf9c2c569b11d0f8951879b525e1836101e26cf239183312aef5fc33e9aa0f9,clear_success,clear_success,clear_success,clear_success,no
review_008,block_07_trial_3_switch_day_361,fe0485685f5d72ee4a9a4840b6fb14c334001881319256c0f4592ce0c47c2b26,clear_success,clear_success,clear_success,clear_success,no
review_009,block_07_trial_1_switch_day_361,fa3740e3fbc432a6373d42e573e616c70a6b63ce9f9c7ddc37161f4c1731543b,clear_success,clear_success,clear_success,clear_success,no
review_010,block_03_trial_3_switch_day_181,a1dd62ffdb6defd5a1f180e927b32ea3d10c587ac16cdfe634767e6b10728744,clear_success,clear_success,clear_success,clear_success,no
review_011,block_02_trial_2_switch_day_181,621503906e5bec65039b885ccc9272a88fc9cc5ed074a61c98d0ded54037a845,failure,failure,clear_success,failure,yes
review_012,block_07_trial_2_switch_day_181,0f793d037256671325513439733de9182db84d73171f831399aea4d995af7253,clear_success,clear_success,clear_success,clear_success,no
review_013,block_05_trial_1_switch_day_361,8a33c9c0d41844da4b1e7d64096683f27b095b18df7fd98306741092085e05f4,failure,failure,clear_success,failure,yes
review_014,block_03_trial_2_switch_day_181,437aade045ca7068190754e172bd7ec5da8eb1ebdcf99309cee4d4ceaf76b7b7,failure,failure,clear_success,failure,yes
review_015,block_04_trial_1_switch_day_181,49ee8a683a6383a31117f24c470f7b02d40119812f35e0eb13f749b86cf1b4e6,clear_success,clear_success,clear_success,clear_success,no
review_016,block_01_trial_3_switch_day_181,4e656f5ca38237eecb228fbf52f960315ec1b247bdadefe11b5a449fa1d99a81,clear_success,clear_success,clear_success,clear_success,no
review_017,block_02_trial_1_switch_day_181,7dc95bbc4213bfb24c7cde0053a6f0b5695ada94f20486f09a3c120d352d4bc1,clear_success,clear_success,clear_success,clear_success,no
review_018,block_08_trial_3_switch_day_361,e9ea972232586154fbc9f4086de3e767d6ab499e52e097933440422f926882ef,clear_success,clear_success,clear_success,clear_success,no
review_019,block_05_trial_2_switch_day_361,d6e946b2be51cc6b7b5a826b1553982091d9dc9d2544f55797f6f70c8c808ecf,clear_success,clear_success,clear_success,clear_success,no
review_020,block_05_trial_3_switch_day_361,c2bff2f14c00ac897135e2070ef68f2ea0d2d92671e8f3bf31e98b76236e6bfe,clear_success,clear_success,clear_success,clear_success,no
review_021,block_06_trial_1_switch_day_181,09d10e779e1f2879e8e3110c5b5aec6652184002a78b5a84c49ecbf82554227e,clear_success,clear_success,clear_success,clear_success,no
review_022,block_08_trial_1_switch_day_181,3e6c39f50518895fc5243a0ee358c438858e4150a2192239bccecad2cdacf896,clear_success,clear_success,clear_success,clear_success,no
review_023,block_04_trial_2_switch_day_181,c27d4007a71393f2c7891a4ba6c8e72fed151efea5c2a5fa3b674ca305306327,failure,failure,clear_success,failure,yes
review_024,block_01_trial_2_switch_day_361,5f561817b31464e8ac420715160fe7778939560fd9d5abda3639b343e6a99fb9,clear_success,clear_success,clear_success,clear_success,no
review_025,block_01_trial_1_switch_day_181,d5f8b7fc71a5990789cc6c4c9be766303cbcc737f913150b8a17ca6bb1e09a66,clear_success,clear_success,clear_success,clear_success,no
review_026,block_05_trial_2_switch_day_181,8fbba1c62f87b0882d9b4c73371a47d3026384ec1957651e9f81c434a9fb654e,clear_success,clear_success,clear_success,clear_success,no
review_027,block_06_trial_3_switch_day_181,98c719c10902b005a4ef3705b89e7d093442582fbd1f9a1e4286519bb4fd9e90,clear_success,clear_success,clear_success,clear_success,no
review_028,block_06_trial_2_switch_day_361,2d210c4f72e96e637fb8ea4d043192f98b5aa2cef916cae88983788f3e9f82af,clear_success,clear_success,clear_success,clear_success,no
review_029,block_05_trial_3_switch_day_181,7174cc49852f6624fcb224985b3357b327f4ad54624b63670a661b2199cc32e9,clear_success,clear_success,clear_success,clear_success,no
review_030,block_08_trial_3_switch_day_181,4b9473afd62f3159005dc6e9c641c5afdfc9933aa0c2ec4a2274ffcdfb455b0d,clear_success,clear_success,clear_success,clear_success,no
review_031,block_08_trial_2_switch_day_181,8afa6240bdef96bf440e63024663014955e80a54c632163eb15515a2d5c6772a,clear_success,clear_success,clear_success,clear_success,no
review_032,block_06_trial_2_switch_day_181,8aa120347a4061d532d5c2b3a9a81ed2b5655f5113e9481a2b54b9b91635a47c,failure,failure,clear_success,failure,yes
review_033,block_05_trial_1_switch_day_181,42556fdacb5c33348121e349de31645cb1d00f8e0f321ef0f0e0a65157bc3dab,clear_success,clear_success,clear_success,clear_success,no
review_034,block_04_trial_3_switch_day_181,9554c1a05cda1e645f32002a3268a3a329fad292f7939dded8f2caea88f75bb1,clear_success,clear_success,clear_success,clear_success,no
review_035,block_08_trial_2_switch_day_361,6ed7cfb20d33fa5ec8a6942c7273bf5fb592a6bdd319c10042655dc9fbef87f5,clear_success,clear_success,clear_success,clear_success,no
review_036,block_04_trial_1_switch_day_361,8558ff85d66e87b7af2b5d977c2a6d9c1c89408463df756331c6d5fd13bba909,failure,failure,clear_success,failure,yes
review_037,block_03_trial_2_switch_day_361,345d5d5a201bfb794aa816cf6b3eae5f1ab78c8fa0ca86acc32ddef6a0bca42a,clear_success,clear_success,clear_success,clear_success,no
review_038,block_03_trial_3_switch_day_361,fa4a7beaeed755a298d3091d2b2111b9266313932b5c5d29e70b15de737bcb5e,clear_success,clear_success,clear_success,clear_success,no
review_039,block_03_trial_1_switch_day_361,e3d12a20b7e35bec7f777ff6cdfdfef5558d660e9ab352a0fe66b86bfa191ad4,clear_success,clear_success,clear_success,clear_success,no
review_040,block_04_trial_3_switch_day_361,d68bd1009b4f7996625d395568c77e4683787651917708e0ae1e38f4528471f2,clear_success,clear_success,clear_success,clear_success,no
review_041,block_04_trial_2_switch_day_361,9ffe1590e625e09e18efb9863b3a6a65af0b14ac27a404c30b20583708e70278,clear_success,clear_success,clear_success,clear_success,no
review_042,block_07_trial_3_switch_day_181,a7493c6ef15fe01111890f6a21d39cd1578827fce7cfb846c3d5945eb5c92394,clear_success,clear_success,clear_success,clear_success,no
review_043,block_02_trial_1_switch_day_361,2bb38c592792fa34abdb194980111591aa6b8b8b5c87cf7b1b796defbc71c109,clear_success,clear_success,clear_success,clear_success,no
review_044,block_08_trial_1_switch_day_361,0f35b373557f2af573d4b8104bc7d59cfb52ec245e382444e34c395e97dbc3a3,failure,failure,clear_success,failure,yes
review_045,block_01_trial_3_switch_day_361,3a25f74f5da5ebe04abfc27d68b7f3cbe935bac33dfbc031f98b8e04c307933b,clear_success,clear_success,clear_success,clear_success,no
review_046,block_06_trial_3_switch_day_361,2a9b0692aaad8a98f06e3ce5f1ddf0bbc34579faa0d4ffb484f27f117c7a7ae6,clear_success,clear_success,clear_success,clear_success,no
review_047,block_03_trial_1_switch_day_181,d4dbe9037f127517c4b22fa4825936ee672c39ebdfed44a82d69f59e40a8fe04,clear_success,clear_success,clear_success,clear_success,no
review_048,block_06_trial_1_switch_day_361,a05b88c2cf88cad2b3a20153e0e2dade9cc31ac2dd71d85184e23032113ae628,failure,failure,clear_success,failure,yes
