event_id,block_index,trial_index,switch_day_index,switch_day_number,old_parameter_id,new_parameter_id,transition_label,numerical_success,response_start_day,new_candidate_top_ranked_days_in_window,new_candidate_probability_above_half_days_in_window,minimum_new_candidate_probability_in_window,maximum_new_candidate_probability_in_window,minimum_probability_margin_in_window,maximum_probability_margin_in_window,minimum_probability_in_qualifying_run,minimum_margin_in_qualifying_run
block_01_trial_1_switch_day_181,0,0,180,181,candidate_2_shared_limits,candidate_3_shared_limits,candidate_2_shared_limits_to_candidate_3_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_01_trial_1_switch_day_361,0,0,360,361,candidate_3_shared_limits,candidate_1_shared_limits,candidate_3_shared_limits_to_candidate_1_shared_limits,True,0,30,30,0.6702033049914877,1.0,0.3404066099829754,1.0,0.9855425160294677,0.9710850320589355
block_01_trial_2_switch_day_181,0,1,180,181,candidate_3_shared_limits,candidate_1_shared_limits,candidate_3_shared_limits_to_candidate_1_shared_limits,True,0,30,30,0.900702912471207,1.0,0.8014058249424141,1.0,0.900702912471207,0.8014058249424141
block_01_trial_2_switch_day_361,0,1,360,361,candidate_1_shared_limits,candidate_2_shared_limits,candidate_1_shared_limits_to_candidate_2_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_01_trial_3_switch_day_181,0,2,180,181,candidate_1_shared_limits,candidate_2_shared_limits,candidate_1_shared_limits_to_candidate_2_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_01_trial_3_switch_day_361,0,2,360,361,candidate_2_shared_limits,candidate_3_shared_limits,candidate_2_shared_limits_to_candidate_3_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_02_trial_1_switch_day_181,1,0,180,181,candidate_2_shared_limits,candidate_3_shared_limits,candidate_2_shared_limits_to_candidate_3_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_02_trial_1_switch_day_361,1,0,360,361,candidate_3_shared_limits,candidate_1_shared_limits,candidate_3_shared_limits_to_candidate_1_shared_limits,True,0,30,30,0.9709217727095656,1.0,0.9418435454191312,1.0,0.9714491775046413,0.9428983550092827
block_02_trial_2_switch_day_181,1,1,180,181,candidate_3_shared_limits,candidate_1_shared_limits,candidate_3_shared_limits_to_candidate_1_shared_limits,True,1,29,29,0.2693331382205271,1.0,-0.4613337235589458,1.0,0.9551252518493241,0.9102505036986481
block_02_trial_2_switch_day_361,1,1,360,361,candidate_1_shared_limits,candidate_2_shared_limits,candidate_1_shared_limits_to_candidate_2_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_02_trial_3_switch_day_181,1,2,180,181,candidate_1_shared_limits,candidate_2_shared_limits,candidate_1_shared_limits_to_candidate_2_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_02_trial_3_switch_day_361,1,2,360,361,candidate_2_shared_limits,candidate_3_shared_limits,candidate_2_shared_limits_to_candidate_3_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_03_trial_1_switch_day_181,2,0,180,181,candidate_2_shared_limits,candidate_3_shared_limits,candidate_2_shared_limits_to_candidate_3_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_03_trial_1_switch_day_361,2,0,360,361,candidate_3_shared_limits,candidate_1_shared_limits,candidate_3_shared_limits_to_candidate_1_shared_limits,True,0,30,30,0.9908025736276171,1.0,0.9816051472552343,1.0,0.9908025736276171,0.9816051472552343
block_03_trial_2_switch_day_181,2,1,180,181,candidate_3_shared_limits,candidate_1_shared_limits,candidate_3_shared_limits_to_candidate_1_shared_limits,True,0,30,30,0.9692966219137255,1.0,0.9385932438274509,1.0,0.9692966219137255,0.9385932438274509
block_03_trial_2_switch_day_361,2,1,360,361,candidate_1_shared_limits,candidate_2_shared_limits,candidate_1_shared_limits_to_candidate_2_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_03_trial_3_switch_day_181,2,2,180,181,candidate_1_shared_limits,candidate_2_shared_limits,candidate_1_shared_limits_to_candidate_2_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_03_trial_3_switch_day_361,2,2,360,361,candidate_2_shared_limits,candidate_3_shared_limits,candidate_2_shared_limits_to_candidate_3_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_04_trial_1_switch_day_181,3,0,180,181,candidate_2_shared_limits,candidate_3_shared_limits,candidate_2_shared_limits_to_candidate_3_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_04_trial_1_switch_day_361,3,0,360,361,candidate_3_shared_limits,candidate_1_shared_limits,candidate_3_shared_limits_to_candidate_1_shared_limits,True,0,30,30,0.9582534419348123,1.0,0.9165068838696248,1.0,0.9582534419348123,0.9165068838696248
block_04_trial_2_switch_day_181,3,1,180,181,candidate_3_shared_limits,candidate_1_shared_limits,candidate_3_shared_limits_to_candidate_1_shared_limits,True,0,30,30,0.9551628593718591,0.9999999999999918,0.9103257187437181,0.9999999999999836,0.9551628593718591,0.9103257187437181
block_04_trial_2_switch_day_361,3,1,360,361,candidate_1_shared_limits,candidate_2_shared_limits,candidate_1_shared_limits_to_candidate_2_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_04_trial_3_switch_day_181,3,2,180,181,candidate_1_shared_limits,candidate_2_shared_limits,candidate_1_shared_limits_to_candidate_2_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
