process_id,state_index,variance_mm2_day2
lower_groundwater_low,0,0.0
lower_groundwater_low,1,0.0
lower_groundwater_low,2,0.0
lower_groundwater_low,3,0.0
lower_groundwater_low,4,1.0
lower_groundwater_low,5,0.0
lower_groundwater_low,6,0.0
lower_groundwater_low,7,0.0
lower_groundwater_low,8,0.0
lower_groundwater_low,9,0.0
lower_groundwater_low,10,0.0
lower_groundwater_low,11,0.0
lower_groundwater_low,12,0.0
lower_groundwater_low,13,0.0
lower_groundwater_low,14,0.0
lower_groundwater_medium,0,0.0
lower_groundwater_medium,1,0.0
lower_groundwater_medium,2,0.0
lower_groundwater_medium,3,0.0
lower_groundwater_medium,4,16.0
lower_groundwater_medium,5,0.0
lower_groundwater_medium,6,0.0
lower_groundwater_medium,7,0.0
lower_groundwater_medium,8,0.0
lower_groundwater_medium,9,0.0
lower_groundwater_medium,10,0.0
lower_groundwater_medium,11,0.0
lower_groundwater_medium,12,0.0
lower_groundwater_medium,13,0.0
lower_groundwater_medium,14,0.0
lower_groundwater_high,0,0.0
lower_groundwater_high,1,0.0
lower_groundwater_high,2,0.0
lower_groundwater_high,3,0.0
lower_groundwater_high,4,256.0
lower_groundwater_high,5,0.0
lower_groundwater_high,6,0.0
lower_groundwater_high,7,0.0
lower_groundwater_high,8,0.0
lower_groundwater_high,9,0.0
lower_groundwater_high,10,0.0
lower_groundwater_high,11,0.0
lower_groundwater_high,12,0.0
lower_groundwater_high,13,0.0
lower_groundwater_high,14,0.0
