event_id,block_index,trial_index,switch_day_index,switch_day_number,old_process_id,new_process_id,transition_label,success,response_start_day,new_candidate_top_ranked_days_in_window
block_01_trial_1_switch_day_181,0,0,180,181,lower_groundwater_medium,lower_groundwater_high,lower_groundwater_medium_to_lower_groundwater_high,True,0,29
block_01_trial_1_switch_day_361,0,0,360,361,lower_groundwater_high,lower_groundwater_low,lower_groundwater_high_to_lower_groundwater_low,True,20,16
block_01_trial_2_switch_day_181,0,1,180,181,lower_groundwater_high,lower_groundwater_low,lower_groundwater_high_to_lower_groundwater_low,True,12,19
block_01_trial_2_switch_day_361,0,1,360,361,lower_groundwater_low,lower_groundwater_medium,lower_groundwater_low_to_lower_groundwater_medium,True,14,17
block_01_trial_3_switch_day_181,0,2,180,181,lower_groundwater_low,lower_groundwater_medium,lower_groundwater_low_to_lower_groundwater_medium,False,,5
block_01_trial_3_switch_day_361,0,2,360,361,lower_groundwater_medium,lower_groundwater_high,lower_groundwater_medium_to_lower_groundwater_high,True,13,19
block_02_trial_1_switch_day_181,1,0,180,181,lower_groundwater_medium,lower_groundwater_high,lower_groundwater_medium_to_lower_groundwater_high,True,2,28
block_02_trial_1_switch_day_361,1,0,360,361,lower_groundwater_high,lower_groundwater_low,lower_groundwater_high_to_lower_groundwater_low,True,10,20
block_02_trial_2_switch_day_181,1,1,180,181,lower_groundwater_high,lower_groundwater_low,lower_groundwater_high_to_lower_groundwater_low,True,11,18
block_02_trial_2_switch_day_361,1,1,360,361,lower_groundwater_low,lower_groundwater_medium,lower_groundwater_low_to_lower_groundwater_medium,True,4,26
block_02_trial_3_switch_day_181,1,2,180,181,lower_groundwater_low,lower_groundwater_medium,lower_groundwater_low_to_lower_groundwater_medium,True,6,24
block_02_trial_3_switch_day_361,1,2,360,361,lower_groundwater_medium,lower_groundwater_high,lower_groundwater_medium_to_lower_groundwater_high,True,2,28
block_03_trial_1_switch_day_181,2,0,180,181,lower_groundwater_medium,lower_groundwater_high,lower_groundwater_medium_to_lower_groundwater_high,True,12,18
