seed,divergent,phase1_true_filter_mean_prob,phase1_first_top_cycle,phase1_stable_top_cycle,phase2_true_filter_mean_prob,phase2_first_top_cycle,phase2_stable_top_cycle
3002001,False,0.2868862600790468,15,981,0.36430882616753557,91,None
3002002,False,0.3301619959339904,9,1215,0.3755292936223124,93,None
3002003,False,0.21985013871419354,92,None,0.3708069497069103,111,1001
3002004,False,0.2618351797995862,8,None,0.5196648179055591,95,1077
3002005,False,0.2320712751587391,3,1161,0.48659519091150505,110,506
3002006,False,0.17490833945416484,122,None,0.4009593934514644,91,None
3002007,False,0.2857296666348459,18,1142,0.4623270604118338,89,1066
3002008,False,0.34269680948639303,80,1146,0.48705111388476485,96,408
3002009,False,0.23168732372555498,6,1144,0.318597762641984,89,1216
3002010,False,0.215210524962495,689,1156,0.3338219774023133,120,None
3002011,False,0.24349380984171023,8,1025,0.3487784306018334,93,863
3002012,False,0.2789059029694411,11,1042,0.31771161636272693,92,None
