seed,divergent,phase1_true_filter_mean_prob,phase1_first_top_cycle,phase1_stable_top_cycle,phase2_true_filter_mean_prob,phase2_first_top_cycle,phase2_stable_top_cycle
3001001,False,0.5039775338877494,3,683,0.4877538922285519,89,1203
3001002,False,0.4591718585051533,3,1169,0.58341728302898,93,991
3001003,False,0.34875963184064684,33,1000,0.47031215882183514,89,1072
3001004,False,0.3664742655386739,177,1196,0.4806681989353461,108,1202
3001005,False,0.4623379873210679,10,697,0.5559398237422946,104,989
3001006,False,0.40592355183482504,79,1117,0.46236589516639987,89,1081
3001007,False,0.44033727007397255,11,1207,0.5069815850621712,107,1004
3001008,False,0.48137265625897097,8,1148,0.6044174155063986,96,1065
3001009,False,0.5022813792157145,4,682,0.5017928771308408,113,1028
3001010,False,0.4753957676359204,4,1204,0.5875588339545921,91,795
3001011,False,0.454547401596011,13,690,0.585018870121911,93,93
3001012,False,0.4131584175413439,7,847,0.5725388781995269,93,1028
3001013,False,0.581242672920214,27,None,0.5825646067193482,89,815
3001014,False,0.5012809353570665,86,1030,0.5687258663057209,100,775
3001015,False,0.3915417955633613,8,1159,0.5076560666233254,109,None
3001016,False,0.35141891945453246,38,1107,0.5426545475314069,90,1211
3001017,False,0.4657844555274194,9,1139,0.4898439972182871,101,1086
3001018,False,0.5165010580479534,22,685,0.5819592701729154,103,1067
3001019,False,0.5133256573586665,5,1095,0.584925523070534,93,1216
3001020,False,0.5310299978820431,23,741,0.5940839957553765,93,1077
3001021,False,0.5610417495264279,3,683,0.5706277521165964,101,1185
3001022,False,0.5699633592515772,21,854,0.48082501322677157,102,1217
3001023,False,0.43249844582550484,6,987,0.508304454237876,92,1072
3001024,False,0.48096679709379586,8,1133,0.550415307310793,92,1169
